state,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
PA,0.4935,0.5633,0.5544,0.5754,0.2886,0.6448,0.6131,0.1552,0.6832,0.7254,0.4656,0.2322,0.7938,0.6274,0.6522,0.7286,0.6775,0.6878,0.4966,0.5792,0.3289,0.7888,0.8694,0.821,0.7525,0.4301,0.7526,0.6806,0.6316,0.6572,0.7827,0.481,0.2674,0.5014,0.4489,0.8478,0.5135,0.7369,1,0.6326,0.62,0.6485,0.5941,0.2893,0.5436,0.7359,0.6359,0.6967,0.8583,0.678,0.6249
RI,0.3382,0.2254,0.2369,0.5556,0.3027,0.5448,0.6411,0.0868,0.5321,0.565,0.2285,0.1904,0.5097,0.402,0.6465,0.4173,0.3839,0.3648,0.1985,0.6069,0.3225,0.5729,0.5817,0.5761,0.4309,0.2051,0.482,0.3257,0.3873,0.4418,0.5984,0.5477,0.2876,0.5107,0.5204,0.5483,0.2099,0.5349,0.6326,1,0.2738,0.3902,0.2617,0.2311,0.464,0.5049,0.5248,0.6491,0.5994,0.3748,0.3659
SC,0.395,0.7922,0.6968,0.2906,0.2719,0.3094,0.2467,0.1549,0.5268,0.4979,0.745,0.2356,0.6399,0.4975,0.2947,0.6881,0.6301,0.7123,0.7357,0.2377,0.2378,0.5552,0.689,0.567,0.7183,0.7304,0.6176,0.8383,0.5565,0.4899,0.4859,0.2429,0.2514,0.2715,0.2357,0.6944,0.59,0.4583,0.62,0.2738,1,0.5757,0.7147,0.2795,0.2858,0.5998,0.3911,0.3181,0.6123,0.6747,0.5773
SD,0.6542,0.5793,0.6309,0.4343,0.2338,0.5569,0.3328,0.1437,0.4104,0.418,0.3983,0.2124,0.7481,0.6558,0.3438,0.712,0.7435,0.7237,0.4525,0.3057,0.2165,0.6383,0.6706,0.706,0.7164,0.4469,0.7446,0.6413,0.7042,0.6365,0.6066,0.2364,0.2337,0.2879,0.229,0.6866,0.6279,0.6186,0.6485,0.3902,0.5757,1,0.6301,0.2577,0.5083,0.5141,0.5078,0.5302,0.7065,0.6963,0.7096
TN,0.5156,0.699,0.6967,0.3309,0.2391,0.4373,0.2002,0.1401,0.3987,0.4338,0.5816,0.2138,0.6541,0.562,0.2809,0.7081,0.7089,0.737,0.5915,0.1899,0.2026,0.522,0.6407,0.6062,0.7194,0.5971,0.6397,0.7564,0.6224,0.54,0.4771,0.2221,0.2276,0.2492,0.2158,0.6653,0.6637,0.5215,0.5941,0.2617,0.7147,0.6301,1,0.2458,0.3808,0.5426,0.3469,0.3876,0.6066,0.6806,0.6382
TX,0.4215,0.2684,0.2417,0.6061,0.6016,0.3049,0.2446,0.1549,0.2419,0.351,0.2897,0.4663,0.3019,0.2716,0.2538,0.2811,0.282,0.2705,0.2562,0.2443,0.235,0.2798,0.2915,0.2899,0.2818,0.2575,0.296,0.2821,0.2573,0.2496,0.2678,0.2853,0.5692,0.6049,0.3273,0.2915,0.3621,0.2588,0.2893,0.2311,0.2795,0.2577,0.2458,1,0.3462,0.2539,0.2343,0.2795,0.2952,0.2645,0.2553
UT,0.5663,0.2984,0.3569,0.5412,0.2485,0.6256,0.3652,0.1552,0.3118,0.2901,0.2549,0.211,0.5636,0.5764,0.4798,0.5393,0.5602,0.4751,0.3013,0.4379,0.2409,0.4332,0.5326,0.6177,0.5147,0.2395,0.4971,0.3401,0.5762,0.5869,0.469,0.3272,0.2224,0.4466,0.3652,0.562,0.4274,0.516,0.5436,0.464,0.2858,0.5083,0.3808,0.3462,1,0.4057,0.3487,0.5801,0.5776,0.4081,0.5048
VA,0.307,0.5293,0.4727,0.3352,0.2511,0.5492,0.54990000000000006,0.1439,0.6445,0.548,0.522,0.2346,0.648,0.4765,0.5418,0.5984,0.5833,0.5796,0.4871,0.539,0.4095,0.6481,0.7297,0.7121,0.6671,0.4303,0.6286,0.6513,0.5222,0.5309,0.6701,0.4046,0.2475,0.2702,0.3701,0.7124,0.4007,0.5711,0.7359,0.5049,0.5998,0.5141,0.5426,0.2539,0.4057,1,0.5587,0.5213,0.6862,0.55,0.4977
VT,0.401,0.3453,0.3557,0.3798,0.2351,0.4812,0.5776,0.139,0.5448,0.4567,0.2347,0.2072,0.6173,0.4189,0.4383,0.4674,0.4621,0.4525,0.2677,0.5361,0.2579,0.7213,0.6134,0.6407,0.5108,0.2505,0.6246,0.4435,0.4805,0.4644,0.7172,0.377,0.2383,0.2826,0.295,0.5818,0.2772,0.5455,0.6359,0.5248,0.3911,0.5078,0.3469,0.2343,0.3487,0.5587,1,0.5525,0.6647,0.4785,0.4662
WA,0.5292,0.3009,0.3626,0.6547,0.3287,0.7311,0.5877,0.1361,0.4373,0.5401,0.246,0.1987,0.6488,0.5342,0.608,0.5603,0.5661,0.5047,0.2239,0.6048,0.2197,0.6387,0.6496,0.7178,0.5561,0.2392,0.6184,0.4089,0.5297,0.5633,0.6639,0.5013,0.3282,0.5309,0.4666,0.6451,0.3809,0.685,0.6967,0.6491,0.3181,0.5302,0.3876,0.2795,0.5801,0.5213,0.5525,1,0.7058,0.4878,0.4986
WI,0.5815,0.569,0.5871,0.5645,0.2828,0.654,0.5616,0.1554,0.6252,0.6254,0.4277,0.2305,0.8463,0.6716,0.5864,0.76,0.7228,0.7206,0.4841,0.5368,0.2584,0.8141,0.858,0.8504,0.7775,0.4347,0.8049,0.684,0.6917,0.6918,0.793,0.3996,0.2714,0.4556,0.3653,0.8476,0.5474,0.7493,0.8583,0.5994,0.6123,0.7065,0.6066,0.2952,0.5776,0.6862,0.6647,0.7058,1,0.7057,0.674
WV,0.5786,0.6524,0.6641,0.4244,0.241,0.4929,0.3262,0.151,0.4669,0.5166,0.4957,0.209,0.7414,0.6263,0.3419,0.7335,0.7282,0.747,0.5261,0.271,0.215,0.6525,0.7087,0.6795,0.7451,0.5288,0.7428,0.7235,0.6629,0.6029,0.5978,0.2386,0.2364,0.3101,0.2314,0.7206,0.6495,0.6091,0.678,0.3748,0.6747,0.6963,0.6806,0.2645,0.4081,0.55,0.4785,0.4878,0.7057,1,0.6898
WY,0.6387,0.5903,0.6289,0.4243,0.2346,0.5338,0.3089,0.14,0.3823,0.419,0.4086,0.2159,0.7174,0.6567,0.3136,0.6975,0.7317,0.7144,0.4605,0.2794,0.2108,0.6116,0.6456,0.6734,0.7007,0.4481,0.7256,0.6352,0.7031,0.6331,0.582,0.23,0.2306,0.2805,0.2235,0.6678,0.6411,0.5856,0.6249,0.3659,0.5773,0.7096,0.6382,0.2553,0.5048,0.4977,0.4662,0.4986,0.674,0.6898,1
