,PARID,PROPERTYZIP,SALEDATE,SALEPRICE,STORIES,YEARBLT,TOTALROOMS,BEDROOMS,FULLBATHS,HALFBATHS,FINISHEDLIVINGAREA,LOGPRICE,AREA100
177925,0038L00108000000,15220,11/21/16,117000.0,1.0,1962.0,6.0,2.0,2.0,0.0,1044.0,11.669929213779893,10.44
245840,0315E00096000000,15236,7/30/03,105000.0,1.0,1953.0,6.0,3.0,1.0,1.0,1240.0,11.56171562913966,12.4
42576,0086M00229000000,15217,9/4/02,295000.0,2.0,1910.0,9.0,4.0,1.0,1.0,2570.0,12.594730635321957,25.7
268324,0563R00062000000,15025,3/30/10,217100.0,2.0,2010.0,7.0,4.0,2.0,1.0,1908.0,12.288113355866383,19.08
201283,0383K00217000000,15133,7/30/18,57000.0,1.5,1950.0,6.0,3.0,1.0,1.0,1318.0,10.950806546816688,13.18
115964,0096B00004000000,15226,11/2/77,30000.0,1.0,1957.0,5.0,2.0,1.0,0.0,1384.0,10.308952660644293,13.84
202278,0236A00019000000,15104,11/29/00,35000.0,2.0,1930.0,7.0,4.0,1.0,0.0,1690.0,10.46310334047155,16.9
252708,0392S00022000000,15102,2/26/93,70000.0,2.0,1992.0,10.0,5.0,3.0,3.0,3171.0,11.156250521031495,31.71
18025,0051M00075000000,15232,8/28/08,169000.0,2.0,1930.0,5.0,2.0,1.0,0.0,1088.0,12.037653993905211,10.88
308853,1132N00055000000,15037,7/18/12,120000.0,1.0,1971.0,7.0,3.0,2.0,0.0,1347.0,11.695247021764184,13.47
45627,0126D00037000000,15208,12/11/86,54000.0,1.0,1960.0,7.0,3.0,1.0,0.0,1428.0,10.896739325546411,14.28
24914,0119S00072000000,15201,4/23/04,11000.0,2.0,1900.0,4.0,2.0,1.0,0.0,960.0,9.305650551780507,9.6
187842,0133G00138000000,15120,10/2/06,55319.0,2.0,1946.0,6.0,3.0,1.0,0.0,1196.0,10.920871708970335,11.96
176373,0558L00214000000,15045,12/21/16,17000.0,2.0,1927.0,7.0,4.0,2.0,0.0,1290.0,9.740968623038354,12.9
256075,0568D00193000000,15102,10/9/85,55000.0,1.0,1950.0,6.0,3.0,1.0,1.0,1163.0,10.915088464214607,11.63
331958,0722R00185000000,15238,1/31/96,90000.0,1.5,1948.0,6.0,3.0,1.0,1.0,1442.0,11.407564949312402,14.42
368206,1348P00055017D00,15090,6/4/10,201890.0,2.0,2009.0,6.0,3.0,2.0,1.0,1536.0,12.215478273604269,15.36
185481,0033D00211000000,15210,1/10/13,70000.0,2.0,1930.0,6.0,3.0,1.0,1.0,2044.0,11.156250521031495,20.44
92019,0023K00315000000,15212,12/31/12,106400.0,3.0,1910.0,12.0,6.0,2.0,0.0,2943.0,11.574960855889682,29.43
342171,0416R00047000000,15108,3/18/16,138000.0,1.0,1960.0,5.0,2.0,1.0,0.0,950.0,11.835008964139341,9.5
355710,0192K00141000000,15228,8/1/95,164000.0,1.0,1962.0,8.0,3.0,2.0,1.0,2138.0,12.007621706806335,21.38
16054,0026H00053000000,15224,9/26/05,55000.0,2.0,1900.0,6.0,3.0,1.0,2.0,1432.0,10.915088464214607,14.32
82490,0042J00203000000,15204,12/27/11,25000.0,2.0,1900.0,5.0,2.0,1.0,0.0,1180.0,10.126631103850338,11.8
106953,0071F00262000000,15204,11/29/17,89500.0,2.0,1945.0,6.0,3.0,1.0,0.0,1613.0,11.401993904262946,16.13
101910,0114H00300000000,15212,5/9/16,104000.0,2.0,1910.0,6.0,3.0,1.0,1.0,1408.0,11.55214617812351,14.08
323400,1213D00005000000,15044,12/16/03,220000.0,2.0,1991.0,8.0,4.0,2.0,2.0,1924.0,12.301382825334498,19.24
50004,0054S00081000000,15217,6/6/12,79000.0,2.0,1920.0,6.0,2.0,2.0,0.0,1674.0,11.27720313144916,16.74
406382,2183R00011000000,15090,7/2/99,223000.0,2.0,1928.0,8.0,3.0,2.0,1.0,2898.0,12.314927050442256,28.98
47190,0128A00152000000,15217,7/17/08,164500.0,1.0,1945.0,3.0,1.0,1.0,0.0,855.0,12.010665849187564,8.55
258892,0772N00094000000,15102,8/9/82,52500.0,1.5,1951.0,7.0,3.0,1.0,1.0,1622.0,10.868568448579715,16.22
60417,0012E00178000000,15203,5/17/89,45000.0,2.0,1880.0,7.0,3.0,2.0,0.0,2240.0,10.714417768752456,22.4
255744,0567G00254000000,15102,8/17/17,1000.0,1.0,1930.0,4.0,2.0,1.0,0.0,640.0,6.907755278982137,6.4
171650,0298S00081000000,15221,10/30/15,243000.0,1.0,2000.0,5.0,2.0,2.0,1.0,2406.0,12.400816722322686,24.06
97881,0162P00107000000,15214,5/13/15,35000.0,2.0,1930.0,6.0,3.0,1.0,0.0,988.0,10.46310334047155,9.88
337043,0157S00047000000,15108,10/21/13,252950.0,2.0,2013.0,8.0,4.0,2.0,1.0,2160.0,12.440947119720082,21.6
307775,1001N00126000000,15037,11/28/97,50000.0,1.0,1935.0,5.0,2.0,1.0,0.0,930.0,10.819778284410283,9.3
167799,0234E00243000000,15218,7/28/16,148000.0,2.0,1901.0,6.0,3.0,1.0,0.0,1440.0,11.904967552746252,14.4
205753,0627L00084000000,15144,3/6/12,65000.0,2.0,1928.0,5.0,2.0,1.0,0.0,1128.0,11.082142548877775,11.28
183189,0079A00199000000,15209,11/3/04,76000.0,2.0,1925.0,7.0,4.0,1.0,1.0,1868.0,11.238488619268468,18.68
17895,0051F00214000000,15224,3/9/16,166000.0,2.5,1900.0,10.0,4.0,3.0,0.0,3326.0,12.01974306733868,33.26
163613,0098H00280000000,15216,6/17/16,169900.0,2.0,1920.0,8.0,3.0,1.0,0.0,1603.0,12.042965307660024,16.03
312495,0591K00357000000,15108,1/12/95,150360.0,1.0,1994.0,7.0,3.0,2.0,1.0,1724.0,11.920787697678115,17.24
243431,0190S00119000000,15236,4/25/16,130000.0,1.5,1990.0,5.0,2.0,2.0,0.0,1248.0,11.77528972943772,12.48
363193,0824E00065000000,15237,12/21/15,256000.0,2.0,1966.0,8.0,4.0,2.0,1.0,1852.0,12.4529327234617,18.52
57012,0013M00244000000,15210,6/15/05,62000.0,2.5,1941.0,6.0,3.0,1.0,0.0,1562.0,11.03488966402723,15.62
71499,0035D00088000000,15216,11/27/89,37000.0,1.0,1931.0,5.0,2.0,1.0,0.0,688.0,10.51867319162636,6.88
209654,0234P00165290200,15218,11/23/15,125277.0,1.0,1982.0,4.0,2.0,1.0,1.0,1064.0,11.738282564577759,10.64
382748,0291S00084000000,15238,1/31/13,384000.0,1.5,1988.0,7.0,4.0,2.0,1.0,3156.0,12.858397831569864,31.56
34033,0173P00066000000,15206,4/26/90,40000.0,1.0,1958.0,5.0,2.0,1.0,1.0,750.0,10.596634733096073,7.5
223209,0232N00057000600,15221,9/22/05,20000.0,1.0,1910.0,7.0,2.0,1.0,0.0,1746.0,9.903487552536127,17.46
371861,0690C00041000000,15126,4/24/08,99900.0,2.0,1980.0,3.0,2.0,1.0,1.0,945.0,11.511924964636645,9.45
154702,0251M00048000000,15234,10/2/02,100000.0,1.0,1950.0,5.0,3.0,1.0,0.0,925.0,11.512925464970229,9.25
221716,0176F00103000200,15221,3/3/06,22000.0,1.0,1903.0,4.0,1.0,1.0,0.0,941.0,9.998797732340453,9.41
