,Unnamed: 0,YEAR,SAMPLE,SERIAL,CBSERIAL,HHWT,CLUSTER,STRATA,GQ,PERNUM,PERWT,SEX,AGE,EDUC,EDUCD,DEGFIELD,DEGFIELDD,INCTOT,INCLOG10,EDU
591,2327824,2019,201901,1027654,2019001341922,556.0,2019010276541,410939,1,2,502.0,0.0,81,7,71,0,0,57400,4.758911892397974,13.0
353,2479998,2019,201901,1098790,2019000683664,58.0,2019010987901,360342,1,1,58.0,0.0,69,10,101,55,5506,203000,5.307496037913213,16.0
805,372243,2019,201901,160641,2019000774446,129.0,2019001606411,670806,1,2,117.0,1.0,32,11,114,36,3600,250000,5.3979400086720375,17.0
748,768735,2019,201901,329668,2019000821378,33.0,2019003296681,530112,1,1,33.0,0.0,72,7,71,0,0,53900,4.731588765186738,13.0
634,2715272,2019,201901,1209382,2019000124723,694.0,2019012093821,461148,1,1,693.0,0.0,36,6,63,0,0,24000,4.380211241711606,12.0
499,1100232,2019,201901,475077,2019001305663,17.0,2019004750771,50117,1,3,5.0,0.0,59,10,101,62,6203,45000,4.653212513775344,16.0
209,2927472,2019,201901,1292888,2019001271797,38.0,2019012928881,330348,1,2,41.0,1.0,41,6,65,0,0,16450,4.216165902285993,12.0
329,2527224,2019,201901,1119277,2019001233756,80.0,2019011192771,320942,1,1,80.0,1.0,20,10,101,60,6006,18000,4.2552725051033065,16.0
554,2845342,2019,201901,1260477,2019000829787,185.0,2019012604771,540048,1,1,185.0,1.0,42,6,63,0,0,9200,3.963787827345555,12.0
723,1964755,2019,201901,867403,2019000380670,60.0,2019008674031,320536,1,7,76.0,0.0,59,6,63,0,0,50000,4.698970004336019,12.0
58,597850,2019,201901,249855,2019000073136,66.0,2019002498551,30109,1,4,83.0,0.0,31,8,81,0,0,15000,4.176091259055681,14.0
507,1210981,2019,201901,526366,2019000010089,98.0,2019005263661,130120,1,1,98.0,0.0,75,10,101,23,2304,30620,4.4860051863622425,16.0
867,1001489,2019,201901,433377,2019000142941,157.0,2019004333771,300717,1,3,218.0,0.0,16,5,50,0,0,5300,3.724275869600789,11.0
918,381267,2019,201901,164049,2019000809720,113.0,2019001640491,750206,1,2,145.0,1.0,26,10,101,19,1901,80000,4.903089986991944,16.0
167,2622083,2019,201901,1164153,2019000136594,73.0,2019011641531,50047,1,1,73.0,1.0,79,10,101,54,5404,30600,4.48572142648158,16.0
496,2960594,2019,201901,1306354,2019000255911,27.0,2019013063541,3500349,1,2,25.0,1.0,63,7,71,0,0,30000,4.477121254719663,13.0
84,2029995,2019,201901,893928,2019000869025,69.0,2019008939281,40136,1,1,70.0,1.0,24,10,101,36,3600,30000,4.477121254719663,16.0
750,1021257,2019,201901,441747,2019000376520,54.0,2019004417471,10417,1,1,54.0,1.0,83,6,63,0,0,25100,4.399673721481038,12.0
199,2933324,2019,201901,1295146,2019001301357,69.0,2019012951461,360248,1,2,72.0,1.0,64,6,65,0,0,35000,4.544068044350276,12.0
451,3030577,2019,201901,1336463,2019000589156,9.0,2019013364631,5112551,1,1,8.0,1.0,78,6,65,0,0,24900,4.396199347095736,12.0
995,483932,2019,201901,202323,2019001208011,77.0,2019002023231,610206,1,1,77.0,1.0,64,10,101,62,6203,98000,4.991226075692495,16.0
194,819480,2019,201901,351836,2019001188140,136.0,2019003518361,950412,1,1,135.0,1.0,56,10,101,62,6207,18000,4.2552725051033065,16.0
874,2774772,2019,201901,1232637,2019000446809,42.0,2019012326371,260048,1,1,42.0,0.0,88,10,101,53,5301,78500,4.894869656745253,16.0
30,766940,2019,201901,328847,2019000807652,47.0,2019003288471,1050112,1,1,46.0,1.0,68,8,81,0,0,19210,4.283527364861694,14.0
239,2090291,2019,201901,918509,2019001322656,59.0,2019009185091,260036,1,2,89.0,0.0,67,10,101,41,4101,32100,4.506505032404872,16.0
229,1671049,2019,201901,735541,2019000211411,113.0,2019007355411,180829,1,3,159.0,0.0,16,4,40,0,0,1300,3.113943352306837,10.0
581,1710699,2019,201901,752637,2019001150239,69.0,2019007526371,190229,1,2,77.0,0.0,42,10,101,26,2602,145300,5.162265614298022,16.0
