"Entity","Code","Year","coffe_prod"
"Melanesia","OWID_MNS",1984,44064
"Melanesia","OWID_MNS",1985,56863
"Melanesia","OWID_MNS",1986,44884
"Melanesia","OWID_MNS",1987,63041
"Melanesia","OWID_MNS",1988,62185
"Melanesia","OWID_MNS",1989,66035
"Melanesia","OWID_MNS",1990,60975
"Melanesia","OWID_MNS",1991,47685
"Melanesia","OWID_MNS",1992,50794
"Melanesia","OWID_MNS",1993,63803.13
"Melanesia","OWID_MNS",1994,67222.22
"Melanesia","OWID_MNS",1995,59660.86
"Melanesia","OWID_MNS",1996,65166.48
"Melanesia","OWID_MNS",1997,64615.36
"Melanesia","OWID_MNS",1998,81035.85
"Melanesia","OWID_MNS",1999,83143.3
"Melanesia","OWID_MNS",2000,83063
"Melanesia","OWID_MNS",2001,63807.15
"Melanesia","OWID_MNS",2002,65155.2
"Melanesia","OWID_MNS",2003,69348.96
"Melanesia","OWID_MNS",2004,59910.72
"Melanesia","OWID_MNS",2005,76134
"Melanesia","OWID_MNS",2006,48474.96
"Melanesia","OWID_MNS",2007,58131.32
"Melanesia","OWID_MNS",2008,61742.85
"Melanesia","OWID_MNS",2009,60279.38
"Melanesia","OWID_MNS",2010,52263.62
"Melanesia","OWID_MNS",2011,84920.94
"Melanesia","OWID_MNS",2012,43659.29
"Melanesia","OWID_MNS",2013,49722.64
"Melanesia","OWID_MNS",2014,56934.81
"Melanesia","OWID_MNS",2015,58011.64
"Melanesia","OWID_MNS",2016,53754.25
"Melanesia","OWID_MNS",2017,47015.3
"Melanesia","OWID_MNS",2018,53190.57
"Melanesia","OWID_MNS",2019,45160.39
"Melanesia","OWID_MNS",2020,40530.82
"Melanesia","OWID_MNS",2021,47910.52
"Melanesia","OWID_MNS",2022,40830.97
"Melanesia","OWID_MNS",2023,45400.91
"Mexico","MEX",1961,126616
"Mexico","MEX",1962,139794
"Mexico","MEX",1963,137069
"Mexico","MEX",1964,156477
"Mexico","MEX",1965,162149
"Mexico","MEX",1966,183005
"Mexico","MEX",1967,224505
"Mexico","MEX",1968,212656
"Mexico","MEX",1969,172734
"Mexico","MEX",1970,185293
"Mexico","MEX",1971,187495
"Mexico","MEX",1972,203462
"Mexico","MEX",1973,221718
"Mexico","MEX",1974,220767
"Mexico","MEX",1975,228264
"Mexico","MEX",1976,212200
"Mexico","MEX",1977,182010
"Mexico","MEX",1978,241602
"Mexico","MEX",1979,220191
"Mexico","MEX",1980,220040
"Mexico","MEX",1981,262904
"Mexico","MEX",1982,251768
"Mexico","MEX",1983,307948
"Mexico","MEX",1984,239870
"Mexico","MEX",1985,260197
"Mexico","MEX",1986,374828
"Mexico","MEX",1987,336180
"Mexico","MEX",1988,423000
"Mexico","MEX",1989,343440
"Mexico","MEX",1990,440000
"Mexico","MEX",1991,334330
"Mexico","MEX",1992,359665
"Mexico","MEX",1993,335627
"Mexico","MEX",1994,324500
"Mexico","MEX",1995,324526
"Mexico","MEX",1996,374153
"Mexico","MEX",1997,368315
"Mexico","MEX",1998,277372
"Mexico","MEX",1999,302119
"Mexico","MEX",2000,338170
"Mexico","MEX",2001,302996
"Mexico","MEX",2002,313027
"Mexico","MEX",2003,310861
"Mexico","MEX",2004,312413
"Mexico","MEX",2005,294364
"Mexico","MEX",2006,279635
"Mexico","MEX",2007,268565
"Mexico","MEX",2008,260442
"Mexico","MEX",2009,264472
"Mexico","MEX",2010,245271
"Mexico","MEX",2011,237056
"Mexico","MEX",2012,246121
"Mexico","MEX",2013,231596
"Mexico","MEX",2014,214667
"Mexico","MEX",2015,188934
"Mexico","MEX",2016,151714
"Mexico","MEX",2017,153777.4
"Mexico","MEX",2018,158307.98
"Mexico","MEX",2019,165712.27
"Mexico","MEX",2020,175554.62
"Mexico","MEX",2021,174341.4
"Mexico","MEX",2022,188689.12
"Mexico","MEX",2023,194916.12
"Mozambique","MOZ",1961,1000
"Mozambique","MOZ",1962,1000
"Mozambique","MOZ",1963,1000
"Mozambique","MOZ",1964,1000
"Mozambique","MOZ",1965,1000
"Mozambique","MOZ",1966,1000
"Mozambique","MOZ",1967,1000
"Mozambique","MOZ",1968,1000
"Mozambique","MOZ",1969,1000
"Mozambique","MOZ",1970,1000
"Mozambique","MOZ",1971,1000
"Mozambique","MOZ",1972,1000
"Mozambique","MOZ",1973,1000
"Mozambique","MOZ",1974,1000
"Mozambique","MOZ",1975,1000
"Mozambique","MOZ",1976,1000
"Mozambique","MOZ",1977,1000
"Mozambique","MOZ",1978,1000
"Mozambique","MOZ",1979,1000
"Mozambique","MOZ",1980,1000
"Mozambique","MOZ",1981,1000
"Mozambique","MOZ",1982,1000
"Mozambique","MOZ",1983,1000
"Mozambique","MOZ",1984,1000
"Mozambique","MOZ",1985,1000
"Mozambique","MOZ",1986,1000
"Mozambique","MOZ",1987,1000
"Mozambique","MOZ",1988,1000
"Mozambique","MOZ",1989,1000
"Mozambique","MOZ",1990,937
"Mozambique","MOZ",1991,900
"Mozambique","MOZ",1992,700
"Mozambique","MOZ",1993,1000
"Mozambique","MOZ",1994,800
"Mozambique","MOZ",1995,900
"Mozambique","MOZ",1996,950
"Mozambique","MOZ",1997,1000
"Mozambique","MOZ",1998,838
"Mozambique","MOZ",1999,812.89
"Mozambique","MOZ",2000,600
"Mozambique","MOZ",2001,782.41
"Mozambique","MOZ",2002,786.66
"Mozambique","MOZ",2003,801.53
"Mozambique","MOZ",2004,750
"Mozambique","MOZ",2005,680
"Mozambique","MOZ",2006,700
"Mozambique","MOZ",2007,720
"Mozambique","MOZ",2008,730
"Mozambique","MOZ",2009,740
"Mozambique","MOZ",2010,770
"Mozambique","MOZ",2011,800
"Mozambique","MOZ",2012,900
"Mozambique","MOZ",2013,900
"Mozambique","MOZ",2014,816.94
"Mozambique","MOZ",2015,804.44
"Mozambique","MOZ",2016,840.46
"Mozambique","MOZ",2017,806.23
"Mozambique","MOZ",2018,798.24
"Mozambique","MOZ",2019,789.95
"Mozambique","MOZ",2020,793.12
"Mozambique","MOZ",2021,796.38
"Mozambique","MOZ",2022,795.62
"Mozambique","MOZ",2023,794.86
"Myanmar","MMR",1961,200
"Myanmar","MMR",1962,949
"Myanmar","MMR",1963,1688
"Myanmar","MMR",1964,1162
"Myanmar","MMR",1965,1534
"Myanmar","MMR",1966,1292
"Myanmar","MMR",1967,1506
"Myanmar","MMR",1968,1406
"Myanmar","MMR",1969,1210
"Myanmar","MMR",1970,1016
"Myanmar","MMR",1971,917
"Myanmar","MMR",1972,957
"Myanmar","MMR",1973,1026
"Myanmar","MMR",1974,956
"Myanmar","MMR",1975,1024
"Myanmar","MMR",1976,923
"Myanmar","MMR",1977,940
"Myanmar","MMR",1978,1079
"Myanmar","MMR",1979,1017
"Myanmar","MMR",1980,1114
"Myanmar","MMR",1981,1044
