PARID,MUNICIPALITY,LOCATION,SALE DATE,RECORDED DATE
0422K00188000000,Aleppo  ,121 FERNDALE AVE SEWICKLEY PA 15143,11/20/2015,12/4/2015
0422L00380000000,Aleppo  ,342 INGLESIDE AVE SEWICKLEY PA 15143,4/15/2015,4/29/2015
0422P00251000000,Glen Osborne,705 SYCAMORE RD SEWICKLEY PA 15143,8/18/2015,8/25/2015
0422P00258000000,Glen Osborne,0 GRANDVIEW WAY SEWICKLEY PA 15143,2/6/2015,2/9/2015
0429R00090010500,Ross  ,1 HILAND VALLEY DR UNIT 105 PITTSBURGH PA 15229,11/24/2015,11/27/2015
0429R00090010700,Ross  ,1 HILAND VALLEY DR UNIT 107 PITTSBURGH PA 15229,10/15/2015,10/20/2015
0429S00022000000,Ross  ,821 WASHINGTON DR PITTSBURGH PA 15229,7/10/2015,7/31/2015
0429S00078000000,Ross  ,808 HARDEN DR PITTSBURGH PA 15229,9/23/2015,10/26/2015
0429S00151000000,Ross  ,827 HARDEN DR PITTSBURGH PA 15229,7/24/2015,7/28/2015
0429S00244000000,Ross  ,908 PERRY HWY PITTSBURGH PA 15229,3/25/2015,3/26/2015
0429S00272030100,Ross  ,301 HILAND VALLEY DR PITTSBURGH PA 15229,4/21/2015,4/21/2015
0430A00051000000,Ross  ,199 LONGVUE DR PITTSBURGH PA 15237,10/2/2015,10/14/2015
0430A00111000000,Ross  ,216 LONGVUE DR PITTSBURGH PA 15237,1/8/2015,1/12/2015
0430L00174000000,Ross  ,117 HILLCREST DR PITTSBURGH PA 15237,9/25/2015,9/25/2015
0430L00182000000,Ross  ,122 HILLCREST DR PITTSBURGH PA 15237,10/12/2015,10/29/2015
0430M00222000000,Ross  ,110 IDAWAY DR PITTSBURGH PA 15237,6/19/2015,6/29/2015
0430M00256000000,Ross  ,105 IDAWAY DR PITTSBURGH PA 15237,8/12/2015,8/19/2015
0430N00098000000,Ross  ,804 E MONROE CIR PITTSBURGH PA 15229,5/21/2015,6/11/2015
0430N00158000000,Ross  ,830 WASHINGTON DR PITTSBURGH PA 15229,4/15/2015,4/21/2015
0430N00196000000,Ross  ,209 THOMPSON DR PITTSBURGH PA 15229,11/19/2015,11/24/2015
0430N00255000000,Ross  ,807 W MONROE CIR PITTSBURGH PA 15229,9/23/2015,10/19/2015
0434J00161000000,Shaler  ,245 MARYLAND DR GLENSHAW PA 15116,3/27/2015,4/2/2015
0434J00168000000,Shaler  ,108 MARYLAND DR GLENSHAW PA 15116,2/23/2015,3/3/2015
0434J00214000000,Shaler  ,232 DELAWARE DR GLENSHAW PA 15116,1/21/2015,1/30/2015
0434J00270000000,Shaler  ,243 DELAWARE DR GLENSHAW PA 15116,11/3/2015,11/16/2015
0434J00288000000,Shaler  ,110 DELAWARE CT GLENSHAW PA 15116,7/10/2015,7/27/2015
0434K00335000000,Shaler  ,1608 BUTLER RD GLENSHAW PA 15116,10/2/2015,10/6/2015
0434L00040000000,Shaler  ,201 HOLLY RIDGE DR GLENSHAW PA 15116,3/30/2015,4/3/2015
0434L00075000000,Shaler  ,819 SPENCER GROVE LN GLENSHAW PA 15116,11/5/2015,11/12/2015
0434L00081000000,Shaler  ,825 SPENCER GROVE LN GLENSHAW PA 15116,5/15/2015,5/18/2015
0434L00211000000,Shaler  ,910 SPENCER RIDGE DR GLENSHAW PA 15116,6/10/2015,7/28/2015
0434M00004000000,Shaler  ,203 HOLLY RIDGE DR GLENSHAW PA 15116,9/11/2015,11/4/2015
0434M00004000000,Shaler  ,203 HOLLY RIDGE DR GLENSHAW PA 15116,10/27/2015,11/9/2015
0434M00024000000,Shaler  ,605 KIMBLE DR GLENSHAW PA 15116,12/31/2015,1/6/2016
0434M00064000000,Shaler  ,598 KIMBLE DR GLENSHAW PA 15116,7/27/2015,8/28/2015
0434M00109000000,Shaler  ,309 HOLLY RIDGE DR GLENSHAW PA 15116,2/25/2015,3/25/2015
0434N00012000000,Shaler  ,1916 MOUNT ROYAL BLVD GLENSHAW PA 15116,3/20/2015,3/25/2015
0422R00060000000,Haysville  ,106 PARK WAY SEWICKLEY PA 15143,5/12/2015,5/13/2015
0422R00060000000,Haysville  ,106 PARK WAY SEWICKLEY PA 15143,8/19/2015,9/18/2015
0423A00124000000,Aleppo  ,304 SEWICKLEY RIDGE RD SEWICKLEY PA 15143,5/5/2015,6/11/2015
0423C00058000000,Sewickley Heights  ,297 MERRIMAN RD SEWICKLEY PA 15143,9/21/2015,10/2/2015
0430A00191000000,Ross  ,406 GOOD LN PITTSBURGH PA 15237,5/21/2015,6/10/2015
0430A00210000000,Ross  ,1028 GRANDVIEW AVE PITTSBURGH PA 15237,8/31/2015,11/4/2015
0430A00241000000,Ross  ,317 CEDAR DR PITTSBURGH PA 15237,8/12/2015,8/17/2015
0430A00243000000,Ross  ,319 CEDAR DR PITTSBURGH PA 15237,10/30/2015,11/5/2015
0430A00299000000,Ross  ,1021 GRANDVIEW AVE PITTSBURGH PA 15237,1/11/2015,2/10/2015
0430A00336000000,Ross  ,1024 HOMER AVE PITTSBURGH PA 15237,6/5/2015,6/9/2015
0430B00024000000,Ross  ,193 LONGVUE DR PITTSBURGH PA 15237,7/16/2015,9/9/2015
0430B00067000000,Ross  ,147 LONGVUE DR PITTSBURGH PA 15237,5/1/2015,5/8/2015
0430C00007000000,Ross  ,0 BABCOCK BLVD PITTSBURGH PA 15237,4/30/2015,5/27/2015
0430C00047000000,Ross  ,3434 BABCOCK BLVD PITTSBURGH PA 15237,8/21/2015,9/14/2015
0430D00270000000,Ross  ,145 BUEHNER DR PITTSBURGH PA 15237,5/21/2015,5/27/2015
0430D00274000000,Ross  ,147 BUEHNER DR PITTSBURGH PA 15237,9/15/2015,9/17/2015
0430E00008000000,Ross  ,994 WILLOW DR PITTSBURGH PA 15237,2/13/2015,2/17/2015
0430N00274000000,Ross  ,214 MONROE DR PITTSBURGH PA 15229,12/7/2015,12/17/2015
0430P00038000000,Ross  ,100 COUNTRY LN PITTSBURGH PA 15229,12/18/2015,12/23/2015
0430P00150000000,Ross  ,113 THOMPSON DR EXT PITTSBURGH PA 15229,6/19/2015,6/24/2015
0430R00142000000,Ross  ,132 3RD AVE PITTSBURGH PA 15229,4/29/2015,5/4/2015
0430R00157000000,Ross  ,144 3RD AVE PITTSBURGH PA 15229,3/23/2015,3/25/2015
0430R00240000000,Ross  ,244 6TH AVE PITTSBURGH PA 15229,5/4/2015,6/8/2015
0430S00072000000,Ross  ,3318 MAPLE DR PITTSBURGH PA 15237,5/30/2015,6/5/2015
0430S00105000000,Ross  ,3295 BABCOCK BLVD PITTSBURGH PA 15237,6/19/2015,7/1/2015
0434N00112000000,Shaler  ,188 KLEBER RD GLENSHAW PA 15116,2/13/2015,3/9/2015
0434N00144000000,Shaler  ,108 DELAWARE DR GLENSHAW PA 15116,10/21/2015,11/3/2015
0434N00164000000,Shaler  ,211 KLEBER RD GLENSHAW PA 15116,2/11/2015,2/13/2015
0434N00189000000,Shaler  ,210 KLEBER RD GLENSHAW PA 15116,11/24/2015,12/7/2015
0434N00207000000,Shaler  ,214 VIRGINIA AVE GLENSHAW PA 15116,6/29/2015,7/13/2015
0434N00262000000,Shaler  ,0 W SHAW PL GLENSHAW PA 15116,4/7/2015,4/13/2015
0434N00266000000,Shaler  ,116 W SHAW PL GLENSHAW PA 15116,4/7/2015,4/13/2015
0434P00152000000,Shaler  ,1544 BUTLER PLANK RD GLENSHAW PA 15116,10/9/2015,2/29/2016
0434S00128000000,Shaler  ,571 KIMBLE DR GLENSHAW PA 15116,6/29/2015,7/20/2015
0434S00128000000,Shaler  ,571 KIMBLE DR GLENSHAW PA 15116,11/6/2015,12/1/2015
0435A00084000000,Shaler  ,604 STONERIDGE DR ALLISON PARK PA 15101,10/20/2015,10/30/2015
0435A00130000000,Shaler  ,922 LIMESTONE DR ALLISON PARK PA 15101,4/13/2015,4/28/2015
0435A00132000000,Shaler  ,918 LIMESTONE DR ALLISON PARK PA 15101,7/29/2015,8/3/2015
0435A00170000000,Shaler  ,906 DRESSEL RD ALLISON PARK PA 15101,2/13/2015,3/6/2015
0435A00184000000,Shaler  ,524 STONERIDGE DR ALLISON PARK PA 15101,5/11/2015,7/9/2015
0435A00198000000,Shaler  ,0 STONERIDGE DR ALLISON PARK PA 15101,11/10/2015,11/17/2015
0423E00031000000,Aleppo  ,319 SEWICKLEY RIDGE DR SEWICKLEY PA 15143,12/1/2015,12/1/2015
0424D00010000800,Ohio  ,115 FREEDOM LN SEWICKLEY PA 15143,6/11/2015,6/16/2015
0424D00010001000,Ohio  ,119 FREEDOM LN SEWICKLEY PA 15143,6/23/2015,6/24/2015
0424D00010002900,Ohio  ,122 FREEDOM LN SEWICKLEY PA 15143,9/29/2015,9/30/2015
0430E00055000000,Ross  ,1005 HOMER AVE PITTSBURGH PA 15237,3/20/2015,4/20/2015
0430E00070000000,Ross  ,999 HOMER AVE PITTSBURGH PA 15237,2/2/2015,2/6/2015
0430E00073000000,Ross  ,997 HOMER AVE PITTSBURGH PA 15237,2/2/2015,2/6/2015
0430E00085000000,Ross  ,991 HOMER AVE PITTSBURGH PA 15237,7/28/2015,8/17/2015
0430E00169000000,Ross  ,1007 GRANDVIEW AVE PITTSBURGH PA 15237,11/13/2015,11/24/2015
0430E00177000000,Ross  ,1003 GRANDVIEW AVE PITTSBURGH PA 15237,7/31/2015,8/17/2015
0430E00177000000,Ross  ,1003 GRANDVIEW AVE PITTSBURGH PA 15237,7/31/2015,10/8/2015
0430E00220000000,Ross  ,302 CEDAR DR PITTSBURGH PA 15237,12/7/2015,2/3/2016
0430E00221000000,Ross  ,990 GRANDVIEW AVE PITTSBURGH PA 15237,11/16/2015,12/1/2015
0430E00232000000,Ross  ,307 CEDAR DR PITTSBURGH PA 15237,7/24/2015,7/28/2015
0430F00066000000,Ross  ,134 LONGVUE DR PITTSBURGH PA 15237,6/16/2015,6/19/2015
0430G00251000000,Ross  ,101 SHORT ST PITTSBURGH PA 15237,5/11/2015,5/28/2015
0430G00292000000,Ross  ,117 LONGVUE DR PITTSBURGH PA 15237,8/4/2015,8/11/2015
0430G00297000000,Ross  ,113 LONGVUE DR PITTSBURGH PA 15237,10/22/2015,11/17/2015
0430H00059000000,Ross  ,102 BUEHNER DR PITTSBURGH PA 15237,10/26/2015,11/4/2015
0430S00173000000,Ross  ,3300 BABCOCK BLVD PITTSBURGH PA 15237,4/23/2015,4/30/2015
0430S00210000000,Ross  ,122 ELIZABETH LN PITTSBURGH PA 15237,1/10/2015,1/22/2015
0431B00008000000,Ross  ,7317 MCKNIGHT RD PITTSBURGH PA 15237,5/28/2015,10/19/2015
0431B00030000000,Ross  ,0 MCKNIGHT RD PITTSBURGH PA 15237,5/28/2015,10/19/2015
0431C00008000000,Ross  ,503 WOODLAND RD PITTSBURGH PA 15237,10/15/2015,10/16/2015
0431C00008380100,Ross  ,3801 MCKNIGHT EAST DR PITTSBURGH PA 15237,12/2/2015,12/3/2015
0431C00045000000,Ross  ,304 NORING CT PITTSBURGH PA 15237,11/18/2015,11/27/2015
0431C00045000000,Ross  ,304 NORING CT PITTSBURGH PA 15237,11/18/2015,11/27/2015
0431C00050000000,Ross  ,3001 MCKNIGHT RD PITTSBURGH PA 15237,10/23/2015,10/26/2015
0431C00120000000,Ross  ,5000 KINVARA DR PITTSBURGH PA 15237,6/22/2015,8/11/2015
0431D00018000000,Ross  ,115 KINVARA CT PITTSBURGH PA 15237,4/1/2015,4/7/2015
0431F00072000000,Ross  ,7210 MCKNIGHT RD PITTSBURGH PA 15237,11/24/2015,11/25/2015
0431F00300006100,Ross  ,1006 MCKNIGHT PARK DR PITTSBURGH PA 15237,2/4/2015,2/6/2015
0435A00232000000,Shaler  ,505 STONERIDGE DR ALLISON PARK PA 15101,3/21/2015,4/6/2015
0435A00234000000,Shaler  ,509 STONERIDGE DR ALLISON PARK PA 15101,4/20/2015,4/22/2015
0435B00190000000,Shaler  ,814 LEDGEVIEW DR ALLISON PARK PA 15101,7/30/2015,8/4/2015
0435C00008000000,Shaler  ,2407 ROLLING FARMS RD GLENSHAW PA 15116,12/10/2015,12/15/2015
0435C00102000000,Shaler  ,1601 SHAWMUT DR GLENSHAW PA 15116,5/29/2015,6/2/2015
0435D00314000000,Indiana  ,1901 MIDDLE RD GLENSHAW PA 15116,3/13/2015,1/19/2016
0435D00316000000,Indiana  ,1905 MIDDLE RD GLENSHAW PA 15116,11/19/2015,11/19/2015
0435D00361000000,Indiana  ,303 SOEDER DR GLENSHAW PA 15116,4/13/2015,5/4/2015
0435E00054000000,Shaler  ,616 STONERIDGE DR ALLISON PARK PA 15101,10/2/2015,10/7/2015
0435E00110000000,Shaler  ,615 MOONSTONE DR ALLISON PARK PA 15101,7/29/2015,8/10/2015
0435E00158000000,Shaler  ,620 MOONSTONE DR ALLISON PARK PA 15101,8/12/2015,8/18/2015
0424D00030001200,Ohio  ,127 FREEDOM LN SEWICKLEY PA 15143,2/9/2015,2/12/2015
0424D00030004000,Ohio  ,133 LIBERTY BLVD SEWICKLEY PA 15143,6/26/2015,7/2/2015
0424D00030004400,Ohio  ,119 LIBERTY LN SEWICKLEY PA 15143,11/24/2015,11/25/2015
0424D00040005300,Ohio  ,130 LIBERTY BLVD SEWICKLEY PA 15143,5/12/2015,5/14/2015
0424D00040005400,Ohio  ,134 LIBERTY BLVD SEWICKLEY PA 15143,3/31/2015,4/2/2015
0424D00070007500,Ohio  ,120 INDEPENDENCE WAY SEWICKLEY PA 15143,7/30/2015,8/4/2015
0424D00070007500,Ohio  ,120 INDEPENDENCE WAY SEWICKLEY PA 15143,10/31/2015,11/10/2015
0424D00070007600,Ohio  ,122 INDEPENDENCE WAY SEWICKLEY PA 15143,3/18/2015,3/19/2015
0424D00070007700,Ohio  ,124 INDEPENDENCE WAY SEWICKLEY PA 15143,9/30/2015,10/1/2015
0424D00070007800,Ohio  ,126 INDEPENDENCE WAY SEWICKLEY PA 15143,11/18/2015,11/19/2015
0424D00070008000,Ohio  ,130 INDEPENDENCE WAY SEWICKLEY PA 15143,4/7/2015,4/17/2015
0424D00070008100,Ohio  ,132 INDEPENDENCE WAY SEWICKLEY PA 15143,10/18/2015,11/20/2015
0424D00070008200,Ohio  ,134 INDEPENDENCE WAY SEWICKLEY PA 15143,8/24/2015,8/28/2015
0424D00070008300,Ohio  ,136 INDEPENDENCE WAY SEWICKLEY PA 15143,4/20/2015,4/21/2015
0424D00070008400,Ohio  ,140 INDEPENDENCE WAY SEWICKLEY PA 15143,6/12/2015,6/16/2015
0430J00092000000,Ross  ,404 WOOD DR PITTSBURGH PA 15229,2/6/2015,2/11/2015
0430J00129000000,Ross  ,905 OAKSIDE LN PITTSBURGH PA 15229,12/9/2015,12/11/2015
0430K00032000000,Ross  ,0 WOOD DR PITTSBURGH PA 15237,10/22/2015,10/29/2015
0430K00036000000,Ross  ,121 WOOD DR PITTSBURGH PA 15237,10/22/2015,10/29/2015
0430K00067000000,Ross  ,410 SCHARS LN PITTSBURGH PA 15237,11/30/2015,12/22/2015
0430K00120000000,Ross  ,908 OAKSIDE LN PITTSBURGH PA 15229,3/4/2015,3/17/2015
0430K00138000000,Ross  ,426 SYLVANIA DR PITTSBURGH PA 15229,6/10/2015,6/18/2015
0430K00180000000,Ross  ,118 WOOD DR PITTSBURGH PA 15237,6/26/2015,6/30/2015
0431G00005000000,Ross  ,478 WOODLAND RD PITTSBURGH PA 15237,4/20/2015,7/30/2015
0431H00119000000,Ross  ,330 SCHLAG CT PITTSBURGH PA 15237,3/20/2015,3/23/2015
0431H00122000000,Ross  ,334 SCHLAG CT PITTSBURGH PA 15237,3/13/2015,3/16/2015
0431H00131000000,Ross  ,337 SCHLAG CT PITTSBURGH PA 15237,10/28/2015,10/29/2015
0431H00146000000,Ross  ,313 SCHLAG CT PITTSBURGH PA 15237,7/15/2015,7/28/2015
0431J00028000000,Ross  ,113 IDAWAY DR PITTSBURGH PA 15237,9/21/2015,10/1/2015
0431J00028000000,Ross  ,113 IDAWAY DR PITTSBURGH PA 15237,10/14/2015,11/3/2015
0431J00056000000,Ross  ,107 CRESTLINE DR PITTSBURGH PA 15237,8/28/2015,8/31/2015
0431K00012000000,Ross  ,519 WIMER CIR PITTSBURGH PA 15237,12/28/2015,1/4/2016
0431K00031000000,Ross  ,438 WIMER DR PITTSBURGH PA 15237,3/20/2015,3/27/2015
0435E00229000000,Shaler  ,709 REDSTONE DR ALLISON PARK PA 15101,6/22/2015,7/2/2015
0435E00237000000,Shaler  ,702 FLINT RD ALLISON PARK PA 15101,5/18/2015,5/27/2015
0435F00012000000,Shaler  ,620 STONERIDGE DR ALLISON PARK PA 15101,12/7/2015,12/8/2015
0435G00040000000,Shaler  ,138 HIGHLANDER CT GLENSHAW PA 15116,5/23/2015,5/26/2015
0435H00073000000,Indiana  ,108 OAKWOOD DR GLENSHAW PA 15116,6/8/2015,6/30/2015
0435H00166000000,Indiana  ,107 BERRYHILL RD GLENSHAW PA 15116,6/16/2015,6/19/2015
0435H00287000000,Indiana  ,1639 MIDDLE RD GLENSHAW PA 15116,11/2/2015,11/3/2015
0435J00094000000,Shaler  ,805 FLINT RD ALLISON PARK PA 15101,4/29/2015,5/5/2015
0435K00133000000,Shaler  ,319 LAURELWOOD DR GLENSHAW PA 15116,3/9/2015,3/19/2015
0435L00214000000,Shaler  ,303 S HIGHLANDER HEIGHTS DR GLENSHAW PA 15116,7/23/2015,7/27/2015
0435L00224000000,Shaler  ,412 S HIGHLANDER HEIGHTS DR GLENSHAW PA 15116,12/8/2015,12/8/2015
0424D00070008500,Ohio  ,142 INDEPENDENCE WAY SEWICKLEY PA 15143,8/26/2015,9/1/2015
0424D00080006200,Ohio  ,106 OLD GLORY LN SEWICKLEY PA 15143,2/19/2015,2/24/2015
0424D00080006300,Ohio  ,108 OLD GLORY LN SEWICKLEY PA 15143,2/17/2015,2/23/2015
0424D00080006400,Ohio  ,110 OLD GLORY LN SEWICKLEY PA 15143,2/2/2015,2/5/2015
0424D00080006500,Ohio  ,112 OLD GLORY LN SEWICKLEY PA 15143,2/20/2015,2/23/2015
0424D00080006600,Ohio  ,114 OLD GLORY LN SEWICKLEY PA 15143,4/30/2015,5/1/2015
0424D00080006700,Ohio  ,116 OLD GLORY LN SEWICKLEY PA 15143,4/9/2015,4/17/2015
0424D00080006800,Ohio  ,121 INDEPENDENCE WAY SEWICKLEY PA 15143,4/30/2015,5/1/2015
0424D00080006900,Ohio  ,123 INDEPENDENCE WAY SEWICKLEY PA 15143,3/16/2015,3/19/2015
0424D00080007000,Ohio  ,125 INDEPENDENCE WAY SEWICKLEY PA 15143,2/17/2015,2/23/2015
0424D00080007100,Ohio  ,127 INDEPENDENCE WAY SEWICKLEY PA 15143,7/9/2015,7/13/2015
0424D00080007200,Ohio  ,129 INDEPENDENCE WAY SEWICKLEY PA 15143,5/5/2015,5/8/2015
0424D00080007300,Ohio  ,133 INDEPENDENCE WAY SEWICKLEY PA 15143,8/20/2015,8/28/2015
0424D00080007400,Ohio  ,135 INDEPENDENCE WAY SEWICKLEY PA 15143,5/12/2015,5/20/2015
0424D00080009000,Ohio  ,101 PATRIOT LN SEWICKLEY PA 15143,3/24/2015,3/31/2015
0424D00080009100,Ohio  ,103 PATRIOT LN SEWICKLEY PA 15143,10/21/2015,10/26/2015
0424D00080009200,Ohio  ,105 PATRIOT LN SEWICKLEY PA 15143,3/25/2015,3/31/2015
0424D00080009300,Ohio  ,107 PATRIOT LN SEWICKLEY PA 15143,3/26/2015,3/31/2015
0424D00080009400,Ohio  ,109 PATRIOT LN SEWICKLEY PA 15143,4/17/2015,4/17/2015
0424D00080009500,Ohio  ,111 PATRIOT LN SEWICKLEY PA 15143,4/28/2015,5/1/2015
0424D00090005600,Ohio  ,155 FREEDOM LN SEWICKLEY PA 15143,1/30/2015,2/12/2015
0424D00090005700,Ohio  ,159 FREEDOM LN SEWICKLEY PA 15143,7/14/2015,7/24/2015
0424D00090009600,Ohio  ,117 PATRIOT LN SEWICKLEY PA 15143,9/10/2015,9/11/2015
0424D00090009700,Ohio  ,119 PATRIOT LN SEWICKLEY PA 15143,9/4/2015,9/4/2015
0424D00090009800,Ohio  ,121 PATRIOT LN SEWICKLEY PA 15143,2/27/2015,3/2/2015
0424D00090009900,Ohio  ,125 PATRIOT LN SEWICKLEY PA 15143,9/15/2015,9/18/2015
0424D00090010000,Ohio  ,127 PATRIOT LN SEWICKLEY PA 15143,8/13/2015,8/19/2015
0424D00090010100,Ohio  ,129 PATRIOT LN SEWICKLEY PA 15143,10/27/2015,11/2/2015
0424D00090010200,Ohio  ,131 PATRIOT LN SEWICKLEY PA 15143,12/17/2015,12/23/2015
0417R00187000000,Moon  ,204 NOTTINGHAM DR CORAOPOLIS PA 15108,12/14/2015,1/12/2016
0417R00317000000,Moon  ,101 QUEENSGATE DR CORAOPOLIS PA 15108,8/24/2015,8/28/2015
0417S00055000000,Moon  ,107 BENTLY DOWN DR CORAOPOLIS PA 15108,5/8/2015,5/13/2015
0418C00069000000,Coraopolis  ,1315 MAIN ST CORAOPOLIS PA 15108,4/7/2015,4/22/2015
0418C00069000000,Coraopolis  ,1315 MAIN ST CORAOPOLIS PA 15108,8/6/2015,10/26/2015
0418C00076000000,Coraopolis  ,0 MAIN ST CORAOPOLIS PA 15108,4/7/2015,4/22/2015
0418C00076000000,Coraopolis  ,0 MAIN ST CORAOPOLIS PA 15108,8/6/2015,10/26/2015
0418F00008000000,Moon  ,227 OAKHAVEN DR CORAOPOLIS PA 15108,9/30/2015,10/1/2015
0418G00002000000,Moon  ,0 SEIBERT RD CORAOPOLIS PA 15108,5/1/2015,5/15/2015
0418G00047000000,Moon  ,1129 MAPLE ST EXT CORAOPOLIS PA 15108,9/21/2015,10/5/2015
0418H00220000000,Moon  ,0 MARSHALL AVE CORAOPOLIS PA 15108,12/2/2015,12/11/2015
0418H00228000000,Moon  ,1421 CHARLTON HEIGHTS RD CORAOPOLIS PA 15108,12/2/2015,12/11/2015
0418H00352000000,Moon  ,1119 MAPLE ST EXT CORAOPOLIS PA 15108,3/5/2015,3/16/2015
0431K00196000000,Ross  ,7206 MCKNIGHT RD PITTSBURGH PA 15237,11/24/2015,11/25/2015
0431M00018000000,Ross  ,467 WOODLAND RD PITTSBURGH PA 15237,4/23/2015,4/28/2015
0431M00066000000,Ross  ,470 WOODLAND RD PITTSBURGH PA 15237,2/10/2015,2/17/2015
0431M00105000000,Ross  ,113 MARUTH DR PITTSBURGH PA 15237,10/8/2015,10/15/2015
0431M00174000000,Ross  ,514 SANGREE RD PITTSBURGH PA 15237,12/31/2015,1/6/2016
0431N00101000000,Ross  ,108 WILLIAM ST PITTSBURGH PA 15237,11/17/2015,11/19/2015
0431N00322000000,Ross  ,110 SIMON AVE PITTSBURGH PA 15237,7/17/2015,7/17/2015
0421C00231000000,Sewickley  ,815 NEVIN AVE SEWICKLEY PA 15143,8/19/2015,8/20/2015
0421C00231000000,Sewickley  ,815 NEVIN AVE SEWICKLEY PA 15143,8/20/2015,8/27/2015
0421C00388000000,Sewickley  ,736 ORCHARD TER SEWICKLEY PA 15143,10/30/2015,11/2/2015
0421D00007000000,Sewickley  ,919 DICKSON RD SEWICKLEY PA 15143,6/10/2015,6/19/2015
0421D00009000000,Sewickley  ,923 DICKSON RD SEWICKLEY PA 15143,9/15/2015,9/15/2015
0421D00081000000,Sewickley  ,911 NEVIN AVE SEWICKLEY PA 15143,4/24/2015,4/28/2015
0421D00209000000,Aleppo  ,122 WATER WORKS RD SEWICKLEY PA 15143,12/11/2015,12/18/2015
0421E00045000000,Sewickley  ,316 PEEBLES ST SEWICKLEY PA 15143,7/30/2015,8/4/2015
0421E00089000000,Sewickley  ,318 LOGAN ST SEWICKLEY PA 15143,3/17/2015,3/20/2015
0421E00110000000,Sewickley  ,319 LOGAN ST SEWICKLEY PA 15143,12/23/2015,12/28/2015
0424H00092010400,Ohio  ,166 FREEDOM LN SEWICKLEY PA 15143,5/19/2015,5/20/2015
0424H00092013900,Ohio  ,238 INDEPENDENCE WAY SEWICKLEY PA 15143,12/30/2015,1/8/2016
0424H00092014000,Ohio  ,236 INDEPENDENCE WAY SEWICKLEY PA 15143,6/18/2015,6/24/2015
0424H00092014100,Ohio  ,234 INDEPENDENCE WAY SEWICKLEY PA 15143,8/28/2015,8/28/2015
0424H00092014200,Ohio  ,232 INDEPENDENCE WAY SEWICKLEY PA 15143,7/27/2015,7/28/2015
0424H00092014800,Ohio  ,220 INDEPENDENCE WAY SEWICKLEY PA 15143,8/7/2015,9/2/2015
0424H00092014900,Ohio  ,218 INDEPENDENCE WAY SEWICKLEY PA 15143,6/11/2015,6/16/2015
0424H00092015100,Ohio  ,214 INDEPENDENCE WAY SEWICKLEY PA 15143,5/22/2015,5/27/2015
0424H00092015400,Ohio  ,206 INDEPENDENCE WAY SEWICKLEY PA 15143,7/16/2015,7/20/2015
0424H00092015800,Kilbuck  ,196 INDEPENDENCE LN SEWICKLEY PA 15143,10/29/2015,11/2/2015
0424H00092015900,Kilbuck  ,194 INDEPENDENCE WAY SEWICKLEY PA 15143,12/18/2015,12/23/2015
0424H00092016000,Kilbuck  ,192 INDEPENDENCE WAY SEWICKLEY PA 15143,12/30/2015,12/31/2015
0424H00092016100,Kilbuck  ,190 INDEPENDENCE WAY SEWICKLEY PA 15143,10/19/2015,10/26/2015
0424H00092016400,Kilbuck  ,184 INDEPENDENCE WAY SEWICKLEY PA 15143,11/20/2015,11/25/2015
0424H00092016600,Kilbuck  ,180 INDEPENDENCE WAY SEWICKLEY PA 15143,12/28/2015,12/31/2015
0424H00092016700,Kilbuck  ,178 INDEPENDENCE WAY SEWICKLEY PA 15143,8/11/2015,8/13/2015
0424H00092016800,Ohio  ,176 INDEPENDENCE WAY SEWICKLEY PA 15143,11/20/2015,11/20/2015
0424H00092016900,Ohio  ,174 INDEPENDENCE WAY SEWICKLEY PA 15143,10/13/2015,10/26/2015
0418L00264000000,Moon  ,108 SEIBERT RD CORAOPOLIS PA 15108,5/1/2015,5/15/2015
0418M00122000000,Moon  ,1511 MARSHALL AVE CORAOPOLIS PA 15108,12/22/2015,12/29/2015
0418M00182000000,Moon  ,1510 CHARLTON HEIGHTS RD CORAOPOLIS PA 15108,12/7/2015,12/22/2015
0418R00147000000,Moon  ,1654 CHARLTON HEIGHTS RD CORAOPOLIS PA 15108,12/8/2015,1/6/2016
0418S00012000000,Moon  ,135 LANSDOWNE DR CORAOPOLIS PA 15108,6/15/2015,6/24/2015
0418S00187000000,Moon  ,1626 RIDGE ST CORAOPOLIS PA 15108,5/6/2015,5/22/2015
0419B00003000000,Coraopolis  ,600 7TH AVE CORAOPOLIS PA 15108,5/26/2015,5/27/2015
0431R00157000000,Ross  ,210 SIEBERT RD PITTSBURGH PA 15237,2/26/2015,3/3/2015
0431R00202000000,Ross  ,500 WIMER CIR PITTSBURGH PA 15237,3/4/2015,4/2/2015
0431S00016000000,Ross  ,509 SANGREE RD PITTSBURGH PA 15237,8/31/2015,9/3/2015
0432A00082000000,Ross  ,123 LEE RD PITTSBURGH PA 15237,6/12/2015,6/19/2015
0432A00091000000,Ross  ,123 LEE RD PITTSBURGH PA 15237,6/12/2015,6/19/2015
0421E00158000000,Sewickley  ,308 CHESTNUT ST SEWICKLEY PA 15143,3/17/2015,3/23/2015
0421E00231000000,Sewickley  ,616 HARBAUGH ST SEWICKLEY PA 15143,10/13/2015,11/10/2015
0421E00257000000,Sewickley  ,232 CHESTNUT ST SEWICKLEY PA 15143,5/29/2015,6/2/2015
0421E00261000000,Sewickley  ,228 CHESTNUT ST SEWICKLEY PA 15143,9/4/2015,11/10/2015
