PARID,MUNICIPALITY,LOCATION,SALE DATE,RECORDED DATE
2203A00087000000,Fawn  ,3219 SAXONBURG RD NATRONA HEIGHTS PA 15065,5/13/2015,5/14/2015
2203D00290000000,Harrison  ,106 MAIDEN LN NATRONA HEIGHTS PA 15065,6/26/2015,7/7/2015
2203M00115000000,Harrison  ,166 ALTER RD NATRONA HEIGHTS PA 15065,10/28/2015,12/3/2015
2204B00035A00100,Harrison  ,1 REVERE RD NATRONA HEIGHTS PA 15065,10/8/2015,10/13/2015
2204B00035A00300,Harrison  ,3 REVERE RD NATRONA HEIGHTS PA 15065,12/14/2015,12/16/2015
2204P00224000000,Harrison  ,385 ALTERMOOR DR NATRONA HEIGHTS PA 15065,12/1/2015,12/14/2015
2271B00161000000,Forward  ,0 RODNEY LN BELLE VERNON PA 15012,7/17/2015,8/4/2015
2271B00162000000,Forward  ,0 RODNEY LN BELLE VERNON PA 15012,7/17/2015,8/4/2015
2271C00182000000,Forward  ,177 AIRPORT RD BELLE VERNON PA 15012,12/21/2015,12/29/2015
2272B00139000000,Forward  ,5610 ELLA HOLLOW RD ELIZABETH PA 15037,7/20/2015,7/21/2015
2275A00157000000,Forward  ,0 RIVER HILL RD MONONGAHELA PA 15063,9/25/2015,10/20/2015
2275E00182000000,Forward  ,109 RIDGE RD MONONGAHELA PA 15063,8/3/2015,8/20/2015
2275E00228000000,Forward  ,116 RIDGE RD MONONGAHELA PA 15063,6/29/2015,7/7/2015
2275F00060000000,Forward  ,534 JULIAN DR MONONGAHELA PA 15063,12/7/2015,12/18/2015
2275F00344000000,Forward  ,0 IRMA ST MONONGAHELA PA 15063,6/12/2015,7/2/2015
2275G00098000000,Forward  ,0 STAFFEN LN MONONGAHELA PA 15063,1/19/2015,1/23/2015
2275G00098000000,Forward  ,0 STAFFEN LN MONONGAHELA PA 15063,9/23/2015,10/8/2015
2275G00169000000,Forward  ,568 STAFFEN LN MONONGAHELA PA 15063,1/19/2015,1/23/2015
2275G00169000000,Forward  ,568 STAFFEN LN MONONGAHELA PA 15063,9/23/2015,10/8/2015
0001C01662111300,2nd Ward - PITTSBURGH,320 FORT DUQUESNE BLVD UNIT 11-M PITTSBURGH PA 15222,9/19/2015,9/29/2015
0001C01662121000,2nd Ward - PITTSBURGH,320 FORT DUQUESNE BLVD UNIT 12-K PITTSBURGH PA 15222,5/12/2015,5/14/2015
0001C01662161100,2nd Ward - PITTSBURGH,320 FORT DUQUESNE BLVD UNIT 16-K PITTSBURGH PA 15222,8/10/2015,8/14/2015
0001C01662161100,2nd Ward - PITTSBURGH,320 FORT DUQUESNE BLVD UNIT 16-K PITTSBURGH PA 15222,9/3/2015,10/15/2015
0001C01662161500,2nd Ward - PITTSBURGH,320 FORT DUQUESNE BLVD UNIT 16-D PITTSBURGH PA 15222,1/28/2015,2/19/2015
0001C01662171100,2nd Ward - PITTSBURGH,320 FORT DUQUESNE BLVD UNIT 17-K PITTSBURGH PA 15222,5/6/2015,5/7/2015
0001C01662171500,2nd Ward - PITTSBURGH,320 FORT DUQUESNE BLVD UNIT 17-O PITTSBURGH PA 15222,5/28/2015,5/28/2015
0001C01662171500,2nd Ward - PITTSBURGH,320 FORT DUQUESNE BLVD UNIT 17-O PITTSBURGH PA 15222,11/6/2015,11/12/2015
0001C01662191000,2nd Ward - PITTSBURGH,320 FORT DUQUESNE BLVD UNIT 19-J PITTSBURGH PA 15222,4/7/2015,4/20/2015
0001C01662210500,2nd Ward - PITTSBURGH,320 FORT DUQUESNE BLVD UNIT 20-O PITTSBURGH PA 15222,2/13/2015,2/24/2015
0001C01662241500,2nd Ward - PITTSBURGH,320 FORT DUQUESNE BLVD UNIT 24-O PITTSBURGH PA 15222,9/21/2015,10/28/2015
