year_month,price
2007-04,1.084665
2007-05,1.087727273
2007-06,1.141847619
2007-07,1.122333333
2007-08,1.161982609
2007-09,1.248210526
2007-10,1.2945
2007-11,1.230895
2007-12,1.329236842
2008-01,1.346095238
2008-02,1.52386
2008-03,1.44535
2008-04,1.331540909
2008-05,1.347619048
2008-06,1.395233333
2008-07,1.411363636
2008-08,1.388514286
2008-09,1.374904762
2008-10,1.147826087
2008-11,1.122684211
2008-12,1.098727273
2009-01,1.1657
2009-02,1.140831579
2009-03,1.116909091
2009-04,1.159361905
2009-05,1.29715
2009-06,1.260063636
2009-07,1.198136364
2009-08,1.281619048
2009-09,1.289857143
2009-10,1.370204545
2009-11,1.37236
2009-12,1.426681818
2010-01,1.401578947
2010-02,1.318642105
2010-03,1.336173913
2010-04,1.332128571
2010-05,1.345025
2010-06,1.507186364
2010-07,1.648047619
2010-08,1.73395
2010-09,1.870595238
2010-10,1.886642857
2010-11,2.046990476
2010-12,2.208681818
2011-01,2.359552632
2011-02,2.589278947
2011-03,2.722195652
2011-04,2.817885
2011-05,2.749833333
2011-06,2.580136364
2011-07,2.5252
2011-08,2.563708696
2011-09,2.590714286
2011-10,2.327952381
2011-11,2.30937619
2011-12,2.248761905
2012-01,2.23245
2012-02,2.088835
2012-03,1.864386364
2012-04,1.7883
2012-05,1.742545455
2012-06,1.568366667
2012-07,1.806071429
2012-08,1.657626087
2012-09,1.720236842
2012-10,1.647391304
2012-11,1.485142857
2012-12,1.470475
2013-01,1.500285714
2013-02,1.415057895
2013-03,1.390225
2013-04,1.371986364
2013-05,1.365272727
2013-06,1.234615
2013-07,1.229954545
2013-08,1.179895455
2013-09,1.1698
2013-10,1.127913043
2013-11,1.05658
2013-12,1.121785714
2014-01,1.176238095
2014-02,1.542363158
2014-03,1.889857143
2014-04,1.97282381
2014-05,1.885545455
2014-06,1.718014286
2014-07,1.725931818
2014-08,1.880828571
2014-09,1.887809524
2014-10,2.050543478
2014-11,1.882621053
2014-12,1.755977273
2015-01,1.692425
2015-02,1.552968421
2015-03,1.369522727
2015-04,1.384861905
2015-05,1.32615
2015-06,1.319504545
2015-07,1.256227273
2015-08,1.274861905
2015-09,1.189547619
2015-10,1.25125
2015-11,1.18404
2015-12,1.21925
2016-01,1.170105263
2016-02,1.166565
