county_fips,dem_share_2000,dem_share_2004,dem_share_2008,dem_share_2012,dem_share_2016,dem_share_2020,dem_share_2024,total_votes_2000,total_votes_2004,total_votes_2008,total_votes_2012,total_votes_2016,total_votes_2020,total_votes_2024
48435,0.30568256041802744,0.19270474879559532,0.2426751592356688,0.24949290060851928,0.2255043227665706,0.20854922279792745,0.14788732394366197,1540.0,1453.0,1578.0,1489.0,1416.0,1557.0,4886.0
48437,0.34683954619124796,0.2962612399432087,0.32572115384615385,0.25917636526410026,0.21659634317862167,0.20576840292724924,0.16698779704560052,2501.0,2120.0,2535.0,2270.0,2204.0,2355.0,7736.0
48439,0.3771780350309,0.3723156616638048,0.4410075405101877,0.42039000583065195,0.4546525138220405,0.5011116414304987,0.4716537083764979,472389.0,560141.0,628553.0,610890.0,668514.0,834697.0,2794268.0
48441,0.24888046439995262,0.22255199080363675,0.269959793222286,0.22858348572232381,0.23272181839160033,0.2694744619931652,0.2471382783882784,43020.0,48099.0,47439.0,43263.0,45759.0,55135.0,189280.0
48443,0.474025974025974,0.3419354838709677,0.3654223968565815,0.33948339483394835,0.32710280373831774,0.26269315673289184,0.2345679012345679,477.0,469.0,519.0,555.0,438.0,458.0,1355.0
48445,0.27575908412145345,0.2005050505050505,0.32386096759041805,0.28926522807975963,0.23443337484433374,0.21210423087699637,0.157421875,4054.0,3970.0,4280.0,3709.0,3355.0,3612.0,12403.0
48447,0.2727272727272727,0.23543123543123542,0.1983273596176822,0.13473423980222496,0.10513141426783479,0.09234234234234234,0.0664451827242525,842.0,863.0,838.0,813.0,808.0,894.0,2720.0
48449,0.3758590528551793,0.3572393605043909,0.342854028126022,0.3032524049473202,0.28513394817742643,0.27393055821983503,0.2098220085747694,8103.0,8907.0,9245.0,8854.0,9419.0,10541.0,35988.0
48451,0.2730078480938244,0.24217573671757367,0.28966770508826584,0.25693906889306645,0.25017045299588186,0.27471269527742864,0.25612366891873106,34626.0,37417.0,38861.0,36720.0,38479.0,45210.0,154354.0
48453,0.4705560408005668,0.5714968706536857,0.6496631696325812,0.6241969217568509,0.7078804691034264,0.7298429161566451,0.7152540666605146,301263.0,352113.0,397714.0,387057.0,468720.0,608575.0,1992337.0
48455,0.4091690544412607,0.3561156891258685,0.31976744186046513,0.262396358315721,0.19589203870310642,0.19168356997971603,0.14973169465120303,5297.0,6213.0,6077.0,6235.0,5985.0,6938.0,25460.0
48457,0.39580658964484383,0.3452350038950922,0.27733674775928296,0.220110847189232,0.15853658536585366,0.14619151818276543,0.1343939393939394,7116.0,7745.0,7910.0,7654.0,8016.0,9660.0,31095.0
48459,0.3310104529616725,0.29224597080998826,0.2524646949107381,0.19825170158814895,0.15267175572519084,0.15396553569517285,0.1390917540831231,12808.0,14526.0,15164.0,15138.0,16013.0,18892.0,65398.0
48461,0.21314102564102563,0.15494137353433834,0.24283305227655985,0.25894245723172626,0.2211910286156226,0.1261127596439169,0.11483253588516747,1273.0,1197.0,1197.0,1300.0,1347.0,1368.0,4470.0
48463,0.41442528042455673,0.3904807009235141,0.4733822854520422,0.4578644960497965,0.4443806021604229,0.3974821899092417,0.34812623274161736,8420.0,8483.0,8766.0,8435.0,8964.0,10344.0,34838.0
48465,0.4482666903094246,0.4057142857142857,0.5482959007381812,0.527265100671141,0.5417768787925937,0.4497509133178346,0.3695652173913043,11474.0,11795.0,12820.0,12081.0,13617.0,15280.0,56031.0
48467,0.2975380077149989,0.24355995555106577,0.22259004891546025,0.16336476321644242,0.13158142158706282,0.1363530597998914,0.12404866063402649,17891.0,19856.0,20395.0,19100.0,21890.0,26029.0,86463.0
48469,0.3032303527055595,0.2906415658556477,0.33093234601144395,0.30890713834491473,0.294150824458379,0.307664947536902,0.28720415624398693,27408.0,29602.0,29931.0,28853.0,31123.0,34188.0,119564.0
48471,0.352592909622655,0.3379318143269068,0.38687556047897875,0.339930404523706,0.32100131752305666,0.33896556171804465,0.287032443694811,14374.0,17822.0,19146.0,18685.0,19796.0,23612.0,84424.0
48473,0.4701826313827805,0.4445167824074074,0.4639382539888442,0.41337733214874983,0.35309294182689355,0.36483898267337755,0.34778216548810725,10858.0,13881.0,15508.0,15902.0,16784.0,22734.0,93872.0
48475,0.33139841688654353,0.2398190045248869,0.252103196859226,0.26223885251013407,0.23513513513513515,0.19076154806491885,0.14937106918238993,3874.0,3768.0,3602.0,3245.0,3445.0,4060.0,13370.0
48477,0.25736620565243534,0.2609733559217619,0.28388458831808583,0.2374631268436578,0.23605779297829274,0.24744483159117306,0.21742061619362232,11809.0,13063.0,14377.0,14397.0,14828.0,17427.0,58939.0
48479,0.5808436979099885,0.5712560678146207,0.718301088660325,0.7724088341037494,0.7656821225612626,0.6175610620514487,0.5025508528387818,31571.0,41556.0,46821.0,49110.0,56905.0,68397.0,260426.0
48481,0.36395095162867674,0.3360972122944961,0.3436108017817372,0.30282445477297104,0.2945714881490234,0.28243080625752104,0.22603781786568136,13426.0,14039.0,14418.0,14087.0,14732.0,16761.0,56759.0
48483,0.24471682163989855,0.17647058823529413,0.14068100358422939,0.10995260663507109,0.08505041648399825,0.07219596046411689,0.06134969325153374,2389.0,2394.0,2245.0,2128.0,2306.0,2337.0,7482.0
48485,0.3366261035552374,0.28303636484069683,0.304129476523608,0.26092669261472096,0.24092744704815802,0.2909794384258236,0.2734238741958542,42713.0,45545.0,45982.0,41018.0,38119.0,46040.0,159617.0
48487,0.30173564753004006,0.258402092976454,0.26702388926099574,0.24726254138018844,0.20352201257861635,0.21339285714285713,0.17838616714697406,4577.0,4990.0,4509.0,3980.0,4105.0,4524.0,16095.0
48489,0.6427002196924306,0.553105401577989,0.7007194244604317,0.7177033492822966,0.6886697524652847,0.5601009190845198,0.4883522727272727,5062.0,4962.0,4903.0,5064.0,5095.0,5549.0,20808.0
48491,0.2901933822245504,0.3411128076518382,0.4338777289217634,0.38944241287504483,0.44776641592849986,0.5071704688139276,0.4937504372362008,95935.0,128198.0,158403.0,163271.0,203081.0,289555.0,1014935.0
48493,0.34738397357900225,0.29772435681004794,0.3296446575679331,0.28293913962086975,0.25494996806472214,0.25591423850401,0.22886801779535343,11698.0,14885.0,16366.0,17205.0,19432.0,25013.0,88722.0
48495,0.274703557312253,0.19598997493734335,0.23778664007976072,0.2328847279110591,0.2303894679100384,0.1695878730459498,0.13379073756432247,2043.0,2002.0,2032.0,1725.0,1876.0,2126.0,7189.0
48497,0.3006723107569721,0.23962925851703407,0.21869497162981805,0.15767573918151556,0.14168258450294827,0.15538197156694267,0.1412679350230706,16368.0,20031.0,20639.0,20745.0,24776.0,32365.0,125919.0
48499,0.2840983726191345,0.23919359620515862,0.22696400271677608,0.17556155569598436,0.14348063284233498,0.1555545704406419,0.14375321336760927,13884.0,16929.0,17784.0,17581.0,18727.0,22779.0,79531.0
48501,0.21744471744471744,0.1443932411674347,0.18450184501845018,0.19411485524442335,0.19163292847503374,0.16191210485736315,0.1255364806866953,2465.0,2613.0,2458.0,2128.0,2303.0,2631.0,8556.0
48503,0.26846321922796795,0.2046039268788084,0.17984817115251897,0.137453235416378,0.11715928848468637,0.1269646365422397,0.11668357733004783,6954.0,7409.0,7305.0,7316.0,7707.0,8239.0,27643.0
48505,0.6321883442686221,0.5750865051903115,0.678446466060182,0.7170828603859251,0.6672056921086675,0.4731795802021249,0.3910646939367566,2616.0,2898.0,2866.0,3543.0,3142.0,3874.0,16512.0
48507,0.776952776952777,0.7500804117079447,0.8455558434827676,0.8412610619469026,0.7915915915915915,0.6577859439595773,0.6106835672249887,3391.0,3118.0,3876.0,3653.0,3396.0,4379.0,13529.0
49001,0.24658158614402917,0.19594594594594594,0.22176759410801963,0.1373015873015873,0.12559467174119887,0.0,0.12409448818897638,2252.0,2544.0,2509.0,2560.0,2491.0,3100.0,3212.0
49003,0.1721350131375059,0.12470130591831065,0.1785964723016344,0.10395598637673566,0.1572491730981257,0.0,0.1875066661926263,15483.0,18368.0,19058.0,19408.0,19735.0,27023.0,28920.0
49005,0.1662914120295915,0.16404621600061758,0.26112985464600086,0.15124869801128793,0.2882970843714228,0.0,0.32175333046841426,33142.0,39731.0,41332.0,42293.0,46157.0,58358.0,60258.0
49007,0.4674036281179138,0.4082486551105798,0.458790845349914,0.3088934147997284,0.24556636155606407,0.0,0.27315015144958893,7384.0,8508.0,7777.0,7567.0,7952.0,9369.0,9445.0
49009,0.24703087885985747,0.22131147540983606,0.3060747663551402,0.188,0.18872549019607843,0.0,0.18566176470588236,435.0,499.0,439.0,520.0,474.0,619.0,550.0
49011,0.2264479692381639,0.19511580127007844,0.28267079708397486,0.18432842105263159,0.31623715588768614,0.0,0.3715847333548403,87855.0,109268.0,110902.0,121069.0,138411.0,169814.0,166570.0
49013,0.17700522608498068,0.13467153284671532,0.16267857142857142,0.09253065774804906,0.08322237017310254,0.0,0.11434723481414324,4546.0,5556.0,5744.0,6379.0,6942.0,8561.0,8968.0
49015,0.2280409426327065,0.18018213356461404,0.22465943200184715,0.13092498849516798,0.09986859395532194,0.0,0.12196601941747573,4398.0,4678.0,4448.0,4449.0,4289.0,4898.0,5011.0
49017,0.09383236689509752,0.125,0.19148936170212766,0.14392523364485982,0.18228105906313646,0.0,0.19658430232558138,1968.0,2162.0,2159.0,2182.0,2344.0,2732.0,2811.0
49019,0.38859060402684564,0.46589769307923773,0.5248857287963433,0.46387322052108515,0.49809402795425667,0.0,0.5485935984481086,3614.0,4165.0,4077.0,3950.0,4533.0,5185.0,5300.0
49021,0.15039932744850779,0.15031162975732662,0.2065162271805274,0.1313922192317103,0.17486260795089573,0.0,0.20851985029720407,12594.0,15446.0,16450.0,16701.0,17654.0,25104.0,27878.0
49023,0.23429220287660862,0.18411442483262325,0.21641355140186916,0.11567068479097205,0.13520954420312023,0.0,0.11459797033567526,2785.0,3417.0,3616.0,3972.0,4177.0,5865.0,6518.0
49025,0.1465354032563423,0.19264214046822742,0.2790091264667536,0.22780159216166565,0.2465069860279441,0.0,0.25758948799275033,2802.0,3051.0,3154.0,3371.0,3505.0,4180.0,4488.0
