,country,Code,year,gini,World regions according to OWID
68,Djibouti,DJI,2023,,Africa
69,Dominica,DMA,2023,,North America
70,Dominican Republic,DOM,2024,0.38971257,
71,Duchy of Modena and Reggio,,2023,,Europe
72,Duchy of Parma and Piacenza,,2023,,Europe
73,East Germany,OWID_GDR,2023,,Europe
74,East Timor,TLS,2023,,Asia
75,Ecuador,ECU,2024,0.45195475,
76,Ecuador (urban),,1998,0.49607277,
77,Egypt,EGY,2023,,Africa
78,El Salvador,SLV,2023,0.39802378,North America
79,Equatorial Guinea,GNQ,2023,,Africa
80,Eritrea,ERI,2023,,Africa
81,Estonia,EST,2023,0.30707377,Europe
82,Eswatini,SWZ,2023,,Africa
83,Ethiopia,ETH,2023,,Africa
84,Ethiopia (former),OWID_ERE,2023,,Africa
85,Ethiopia (rural),,1981,0.30980363,
86,Falkland Islands,FLK,2023,,South America
87,Faroe Islands,FRO,2023,,Europe
88,Federal Republic of Central America,,2023,,North America
89,Fiji,FJI,2023,,Oceania
90,Finland,FIN,2023,0.27399832,Europe
91,France,FRA,2023,0.3180931,Europe
92,French Guiana,GUF,2023,,South America
93,French Polynesia,PYF,2023,,Oceania
94,Gabon,GAB,2023,,Africa
95,Gambia,GMB,2023,,Africa
96,Georgia,GEO,2024,0.33853805,
97,Germany,DEU,2023,,Europe
98,Ghana,GHA,2023,,Africa
99,Gibraltar,GIB,2023,,Europe
100,Grand Duchy of Baden,,2023,,Europe
101,Grand Duchy of Tuscany,,2023,,Europe
102,Great Colombia,,2023,,South America
103,Greece,GRC,2023,0.3343871,Europe
104,Greenland,GRL,2023,,North America
105,Grenada,GRD,2023,,North America
106,Guadeloupe,GLP,2023,,North America
107,Guam,GUM,2023,,Oceania
108,Guatemala,GTM,2023,0.45212683,North America
109,Guernsey,GGY,2023,,Europe
110,Guinea,GIN,2023,,Africa
111,Guinea-Bissau,GNB,2023,,Africa
112,Guyana,GUY,2023,,South America
113,Haiti,HTI,2023,,North America
114,Honduras,HND,2024,0.45676118,
115,Honduras (urban),,1986,0.5509298,
116,Hong Kong,HKG,2023,,Asia
117,Hungary,HUN,2023,,Europe
118,Iceland,ISL,2023,,Europe
119,India,IND,2023,,Asia
120,Indonesia,IDN,2024,0.34894395,
121,Iran,IRN,2023,0.35884795,Asia
122,Iraq,IRQ,2023,0.2977404,Asia
123,Ireland,IRL,2023,0.2897247,Europe
124,Isle of Man,IMN,2023,,Europe
125,Israel,ISR,2023,,Asia
126,Italy,ITA,2023,0.34344622,Europe
127,Jamaica,JAM,2023,,North America
128,Japan,JPN,2023,,Asia
129,Jersey,JEY,2023,,Europe
130,Jordan,JOR,2023,,Asia
131,Kazakhstan,KAZ,2023,,Asia
132,Kenya,KEN,2023,,Africa
133,Kingdom of Bavaria,,2023,,Europe
134,Kingdom of Sardinia,,2023,,Europe
135,Kingdom of Saxony,,2023,,Europe
136,Kingdom of Wurttemberg,,2023,,Europe
137,Kingdom of the Two Sicilies,,2023,,Europe
138,Kiribati,KIR,2023,,Oceania
139,Korea (former),OWID_KRU,2023,,Asia
140,Kosovo,OWID_KOS,2023,,Europe
141,Kuwait,KWT,2023,,Asia
142,Kyrgyzstan,KGZ,2023,0.2718802,Asia
143,Laos,LAO,2023,,Asia
144,Latvia,LVA,2023,0.3397468,Europe
145,Lebanon,LBN,2023,,Asia
146,Lesotho,LSO,2023,,Africa
147,Liberia,LBR,2023,,Africa
148,Libya,LBY,2023,,Africa
149,Liechtenstein,LIE,2023,,Europe
150,Lithuania,LTU,2023,0.35961652,Europe
151,Luxembourg,LUX,2023,0.33591464,Europe
152,Macao,MAC,2023,,Asia
153,Madagascar,MDG,2023,,Africa
154,Malawi,MWI,2023,,Africa
155,Malaysia,MYS,2023,,Asia
156,Maldives,MDV,2023,,Asia
157,Mali,MLI,2023,,Africa
158,Malta,MLT,2023,,Europe
159,Marshall Islands,MHL,2023,,Oceania
160,Martinique,MTQ,2023,,North America
161,Mauritania,MRT,2023,,Africa
162,Mauritius,MUS,2023,,Africa
163,Mayotte,MYT,2023,,Africa
164,Mexico,MEX,2023,,North America
165,Micronesia (country),FSM,2023,,Oceania
166,Micronesia (country) (urban),,2000,0.6307854,
167,Moldova,MDA,2023,0.26764753,Europe
168,Monaco,MCO,2023,,Europe
169,Mongolia,MNG,2023,,Asia
170,Montenegro,MNE,2023,,Europe
171,Montserrat,MSR,2023,,North America
172,Morocco,MAR,2023,,Africa
173,Mozambique,MOZ,2023,,Africa
174,Myanmar,MMR,2023,,Asia
175,Namibia,NAM,2023,,Africa
176,Nauru,NRU,2023,,Oceania
177,Nepal,NPL,2023,,Asia
178,Netherlands,NLD,2023,,Europe
179,Netherlands Antilles,ANT,2023,,North America
180,New Caledonia,NCL,2023,,Oceania
181,New Zealand,NZL,2023,,Oceania
182,Nicaragua,NIC,2023,,North America
183,Niger,NER,2023,,Africa
184,Nigeria,NGA,2023,,Africa
185,Niue,NIU,2023,,Oceania
186,Norfolk Island,NFK,2023,,Oceania
187,North Korea,PRK,2023,,Asia
188,North Macedonia,MKD,2023,,Europe
189,Northern Mariana Islands,MNP,2023,,Oceania
190,Norway,NOR,2023,0.2653081,Europe
191,Oman,OMN,2023,,Asia
192,Orange Free State,,2023,,Africa
193,Pakistan,PAK,2023,,Asia
194,Pakistan (former),,2023,,Asia
195,Palau,PLW,2023,,Oceania
196,Palestine,PSE,2023,0.36381876,Asia
197,Panama,PAN,2024,0.49733543,
198,Papua New Guinea,PNG,2023,,Oceania
199,Paraguay,PRY,2024,0.44245335,
200,Peru,PER,2024,0.40125862,
201,Philippines,PHL,2023,0.35203487,Asia
202,Pitcairn,PCN,2023,,Oceania
203,Poland,POL,2023,0.28466788,Europe
204,Portugal,PRT,2023,0.33851567,Europe
205,Puerto Rico,PRI,2023,,North America
206,Qatar,QAT,2023,,Asia
207,Republic of Vietnam,OWID_RVN,2023,,Asia
208,Reunion,REU,2023,,Africa
209,Romania,ROU,2023,0.29828945,Europe
210,Russia,RUS,2023,,Europe
211,Rwanda,RWA,2023,0.39364448,Africa
212,Rwanda (rural),,1984,0.28898594,
213,Saint Barthelemy,BLM,2023,,North America
214,Saint Helena,SHN,2023,,Africa
215,Saint Kitts and Nevis,KNA,2023,,North America
216,Saint Lucia,LCA,2023,,North America
217,Saint Martin (French part),MAF,2023,,North America
218,Saint Pierre and Miquelon,SPM,2023,,North America
219,Saint Vincent and the Grenadines,VCT,2023,,North America
220,Samoa,WSM,2023,,Oceania
221,San Marino,SMR,2023,,Europe
222,Sao Tome and Principe,STP,2023,,Africa
223,Saudi Arabia,SAU,2023,,Asia
224,Senegal,SEN,2023,,Africa
225,Serbia,SRB,2023,,Europe
226,Serbia and Montenegro,OWID_SRM,2023,,Europe
227,Seychelles,SYC,2023,,Africa
228,Sierra Leone,SLE,2023,,Africa
229,Singapore,SGP,2023,,Asia
230,Sint Maarten (Dutch part),SXM,2023,,North America
231,Slovakia,SVK,2023,0.23817715,Europe
232,Slovenia,SVN,2023,0.24681959,Europe
233,Solomon Islands,SLB,2023,,Oceania
234,Somalia,SOM,2023,,Africa
235,South Africa,ZAF,2023,,Africa
236,South Georgia and the South Sandwich Islands,SGS,2023,,South America
237,South Korea,KOR,2023,,Asia
238,South Sudan,SSD,2023,,Africa
239,Spain,ESP,2023,0.33407936,Europe
240,Sri Lanka,LKA,2023,,Asia
241,Sudan,SDN,2023,,Africa
