,city,avg_temp,state_id,county_fips,lat,lng,population,timezone,median_income
669,Rochester,7.7269057624960205,NH,33017,43.299,-70.9787,32866,America/New_York,46979
679,Rockford,7.999159821712831,TN,47009,35.8328,-83.9358,750,America/New_York,61295
687,Salem,9.777756186984416,MA,25009,42.5129,-70.9021,44241,America/New_York,60690
688,Salem,9.777756186984416,VA,51775,37.2864,-80.0555,25477,America/New_York,50068
689,Salem,9.777756186984416,OH,39029,40.9049,-80.8492,11805,America/New_York,40006
693,Salem,9.777756186984416,NJ,34033,39.5681,-75.4724,5315,America/New_York,26320
696,Salem,9.777756186984416,WV,54033,39.2849,-80.5645,1812,America/New_York,35438
700,Salem,9.777756186984416,SC,45073,34.8879,-82.9752,208,America/New_York,40208
704,San Antonio,19.98009499136442,FL,12101,28.3395,-82.2786,1352,America/New_York,73750
718,Savannah,19.40643956396281,GA,13051,32.0286,-81.1821,316446,America/New_York,36466
731,Spring Valley,17.45498153547133,KY,21111,38.2968,-85.6108,756,America/New_York,102813
732,Springfield,10.647931343609926,MA,25013,42.1155,-72.5395,438889,America/New_York,34728
735,Springfield,10.647931343609926,OH,39023,39.93,-83.7959,84309,America/New_York,32066
740,Springfield,10.647931343609926,GA,13103,32.3636,-81.303,2874,America/New_York,45417
741,Springfield,10.647931343609926,KY,21229,37.6922,-85.2193,2871,America/New_York,33654
747,Springfield,10.647931343609926,SC,45075,33.4967,-81.2795,434,America/New_York,34375
748,Stamford,9.523295607566528,CT,9190,41.1039,-73.5585,135806,America/New_York,79359
759,Syracuse,7.594909265790318,NY,36067,43.0407,-76.1437,407625,America/New_York,31881
766,Tallahassee,19.96498351115422,FL,12073,30.4551,-84.2527,261271,America/New_York,39681
767,Tampa,21.925672809569996,FL,12057,27.9945,-82.4447,2906035,America/New_York,44185
775,Toledo,9.59264219301058,OH,39095,41.6638,-83.5827,492076,America/New_York,33687
786,Virginia Beach,15.67885604360372,VA,51810,36.7335,-76.0435,1431821,America/New_York,66634
