,DIM_TIME,Country,RATE_PER_10000_N,Year,GDP_Per_Cap,log_GDP_Per_Cap,Value,uhc_indicator,residuals_robust
87,2020,Senegal,0.08,2020,1461.81,7.287430672903998,No,0,-0.9864923261295734
88,2020,Serbia,2.4,2020,7420.94,8.912061012773723,Yes,1,-3.440973755702282
89,2020,Sierra Leone,0.02,2020,486.64,6.18752463001245,No,0,0.8628083668709672
90,2020,Singapore,4.42,2020,64151.3,11.068999634842347,Yes,1,-3.7139701593747088
91,2020,Slovakia,5.29,2020,18726.49,9.837694377983361,Yes,1,-1.5349952553541062
92,2020,Slovenia,7.47,2020,25184.04,10.133965739525907,Yes,1,0.33004484751323737
93,2020,Zimbabwe,0.3,2020,1143.49,7.041840268343705,No,0,-0.34017779440053425
94,2020,Spain,8.34,2020,26300.36,10.177337906285102,Yes,1,1.1539368028147132
95,2020,Sweden,7.71,2020,52063.18,10.860213260048392,Yes,1,-0.20201372462034328
96,2020,Tajikistan,1.69,2020,903.14,6.805877580159409,No,0,1.459424213865701
97,2020,Thailand,1.06,2020,7119.42,8.870581540413763,Yes,1,-4.736877794892605
