IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AFR,Africa,Country,LBR,Liberia,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,EMR,Eastern Mediterranean,Country,LBY,Libya,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,EUR,Europe,Country,LTU,Lithuania,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AFR,Africa,Country,MDG,Madagascar,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AFR,Africa,Country,MWI,Malawi,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,SEAR,South-East Asia,Country,MDV,Maldives,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AFR,Africa,Country,MLI,Mali,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,EUR,Europe,Country,MLT,Malta,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,WPR,Western Pacific,Country,MHL,Marshall Islands,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
