,Year,Pick,Unnamed: 2,BPM,Rank_BPM,Pick.1,Avg_BPM,Rank_Pick
155,2012,36,Orlando Johnson,-2.4,,,,
156,2012,37,Quincy Acy,-2.0,,,,
157,2012,38,Quincy Miller,-3.9,,,,
158,2012,39,Khris Middleton,0.7,,,,
159,2012,40,Will Barton,-0.4,,,,
160,2012,41,Tyshawn Taylor,-8.1,,,,
161,2012,42,Doron Lamb,-5.8,,,,
162,2012,43,Mike Scott,-1.7,,,,
163,2012,44,Kim English,-4.2,,,,
164,2012,45,Justin Hamilton,-0.9,,,,
165,2012,46,Darius Miller,-2.3,,,,
166,2012,47,Kevin Murphy,-16.8,,,,
167,2012,48,Kostas Papanikolaou,-2.7,,,,
168,2012,49,Kyle O'Quinn,0.9,,,,
169,2012,50,İzzet Türkyılmaz,0.0,,,,
170,2012,51,Kris Joseph,-9.9,,,,
171,2012,52,Ognjen Kuzmić,-5.6,,,,
172,2012,53,Furkan Aldemir,-3.6,,,,
173,2012,54,Tornike Shengelia,-7.0,,,,
174,2012,55,Darius Johnson-Odom,-25.5,,,,
175,2012,56,Tomislav Zubčić,0.0,,,,
176,2012,57,İlkan Karaman,0.0,,,,
177,2012,58,Robbie Hummel,-3.1,,,,
178,2012,59,Marcus Denmon,0.0,,,,
179,2012,60,Robert Sacre,-4.0,,,,
180,2013,1,Anthony Bennett,-4.8,,,,
181,2013,2,Victor Oladipo,0.7,,,,
182,2013,3,Otto Porter Jr.,1.7,,,,
183,2013,4,Cody Zeller,-0.7,,,,
184,2013,5,Alex Len,-1.9,,,,
185,2013,6,Nerlens Noel,0.9,,,,
186,2013,7,Ben McLemore,-3.1,,,,
187,2013,8,Kentavious Caldwell-Pope,-1.0,,,,
188,2013,9,Trey Burke,-1.3,,,,
189,2013,10,CJ McCollum,1.1,,,,
190,2013,11,Michael Carter-Williams,-1.2,,,,
191,2013,12,Steven Adams,0.5,,,,
192,2013,13,Kelly Olynyk,0.9,,,,
193,2013,14,Shabazz Muhammad,-2.0,,,,
194,2013,15,Giannis Antetokounmpo,6.8,,,,
195,2013,16,Lucas Nogueira,2.3,,,,
196,2013,17,Dennis Schröder,-1.5,,,,
197,2013,18,Shane Larkin,-2.4,,,,
198,2013,19,Sergey Karasev,-3.4,,,,
199,2013,20,Tony Snell,-2.0,,,,
200,2013,21,Gorgui Dieng,0.2,,,,
201,2013,22,Mason Plumlee,1.2,,,,
202,2013,23,Solomon Hill,-2.1,,,,
203,2013,24,Tim Hardaway Jr.,-1.2,,,,
204,2013,25,Reggie Bullock,-1.2,,,,
205,2013,26,Andre Roberson,-0.6,,,,
206,2013,27,Rudy Gobert,3.2,,,,
207,2013,28,Livio Jean-Charles,0.0,,,,
208,2013,29,Archie Goodwin,-3.0,,,,
209,2013,30,Nemanja Nedović,-10.0,,,,
210,2013,31,Allen Crabbe,-1.6,,,,
211,2013,32,Álex Abrines,-1.9,,,,
212,2013,33,Carrick Felix,-3.4,,,,
213,2013,34,Isaiah Canaan,-2.4,,,,
214,2013,35,Glen Rice Jr.,-6.6,,,,
215,2013,36,Ray McCallum,-2.6,,,,
216,2013,37,Tony Mitchell,0.4,,,,
217,2013,38,Nate Wolters,-2.6,,,,
218,2013,39,Jeff Withey,0.5,,,,
219,2013,40,Grant Jerrett,-10.8,,,,
220,2013,41,Jamaal Franklin,-5.9,,,,
221,2013,42,Pierre Jackson,-4.4,,,,
222,2013,43,Ricky Ledo,-7.6,,,,
223,2013,44,Mike Muscala,-0.2,,,,
224,2013,45,Marko Todorović,0.0,,,,
225,2013,46,Erick Green,-4.0,,,,
226,2013,47,Raul Neto,-1.5,,,,
227,2013,48,Ryan Kelly,-2.6,,,,
228,2013,49,Erik Murphy,-8.6,,,,
229,2013,50,James Ennis III,-1.5,,,,
230,2013,51,Romero Osby,0.0,,,,
231,2013,52,Lorenzo Brown,-3.5,,,,
232,2013,53,Colton Iverson,0.0,,,,
233,2013,54,Arsalan Kazemi,0.0,,,,
234,2013,55,Joffrey Lauvergne,-2.1,,,,
235,2013,56,Peyton Siva,-6.4,,,,
236,2013,57,Alex Oriakhi,0.0,,,,
237,2013,58,Deshaun Thomas,0.0,,,,
238,2013,59,Bojan Dubljević,0.0,,,,
