Year,Pick,,BPM,Rank_BPM,Pick,Avg_BPM,Rank_Pick
2013,22,Mason Plumlee,1.2,,,,
2013,23,Solomon Hill,-2.1,,,,
2013,24,Tim Hardaway Jr.,-1.2,,,,
2013,25,Reggie Bullock,-1.2,,,,
2013,26,Andre Roberson,-0.6,,,,
2013,27,Rudy Gobert,3.2,,,,
2013,28,Livio Jean-Charles,0,,,,
2013,29,Archie Goodwin,-3,,,,
2013,30,Nemanja Nedović,-10,,,,
2013,31,Allen Crabbe,-1.6,,,,
2013,32,Álex Abrines,-1.9,,,,
2013,33,Carrick Felix,-3.4,,,,
2013,34,Isaiah Canaan,-2.4,,,,
2013,35,Glen Rice Jr.,-6.6,,,,
2013,36,Ray McCallum,-2.6,,,,
2013,37,Tony Mitchell,0.4,,,,
2013,38,Nate Wolters,-2.6,,,,
2013,39,Jeff Withey,0.5,,,,
2013,40,Grant Jerrett,-10.8,,,,
2013,41,Jamaal Franklin,-5.9,,,,
2013,42,Pierre Jackson,-4.4,,,,
2013,43,Ricky Ledo,-7.6,,,,
2013,44,Mike Muscala,-0.2,,,,
2013,45,Marko Todorović,0,,,,
2013,46,Erick Green,-4,,,,
2013,47,Raul Neto,-1.5,,,,
2013,48,Ryan Kelly,-2.6,,,,
2013,49,Erik Murphy,-8.6,,,,
2013,50,James Ennis III,-1.5,,,,
2013,51,Romero Osby,0,,,,
2013,52,Lorenzo Brown,-3.5,,,,
2013,53,Colton Iverson,0,,,,
2013,54,Arsalan Kazemi,0,,,,
2013,55,Joffrey Lauvergne,-2.1,,,,
2013,56,Peyton Siva,-6.4,,,,
2013,57,Alex Oriakhi,0,,,,
2013,58,Deshaun Thomas,0,,,,
2013,59,Bojan Dubljević,0,,,,
2013,60,Jānis Timma,0,,,,
2014,1,Andrew Wiggins,-1.3,,,,
2014,2,Jabari Parker,-0.8,,,,
2014,3,Joel Embiid,6.8,,,,
2014,4,Aaron Gordon,0.4,,,,
2014,5,Dante Exum,-2.8,,,,
