,year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode,d_share,now,log_votes,residuals
228,2000,ALABAMA,AL,SHELBY,1117.0,US PRESIDENT,AL GORE,DEMOCRAT,13183,62128,20250821,TOTAL,0.2121909605974762,0,11.036952051971449,-0.2413920466432258
232,2000,ALABAMA,AL,ST. CLAIR,1115.0,US PRESIDENT,AL GORE,DEMOCRAT,6485,24090,20250821,TOTAL,0.2691988376919884,0,10.089552095608918,-0.15364870226311667
236,2000,ALABAMA,AL,SUMTER,1119.0,US PRESIDENT,AL GORE,DEMOCRAT,4415,6088,20250821,TOTAL,0.7251971090670171,0,8.714074899541522,0.3469726811121797
240,2000,ALABAMA,AL,TALLADEGA,1121.0,US PRESIDENT,AL GORE,DEMOCRAT,11264,25451,20250821,TOTAL,0.4425759302188519,0,10.144510313937575,0.017945440507235788
244,2000,ALABAMA,AL,TALLAPOOSA,1123.0,US PRESIDENT,AL GORE,DEMOCRAT,6183,16253,20250821,TOTAL,0.3804220759244447,0,9.696032786103176,-0.029658944692827316
248,2000,ALABAMA,AL,TUSCALOOSA,1125.0,US PRESIDENT,AL GORE,DEMOCRAT,24614,60114,20250821,TOTAL,0.40945536813387895,0,11.003998038487318,-0.043058547857062535
252,2000,ALABAMA,AL,WALKER,1127.0,US PRESIDENT,AL GORE,DEMOCRAT,11621,25641,20250821,TOTAL,0.4532194532194532,0,10.151947911834128,0.028347673601396117
256,2000,ALABAMA,AL,WASHINGTON,1129.0,US PRESIDENT,AL GORE,DEMOCRAT,3386,7596,20250821,TOTAL,0.4457609268035808,0,8.935377071932177,0.060357032949399814
260,2000,ALABAMA,AL,WILCOX,1131.0,US PRESIDENT,AL GORE,DEMOCRAT,3444,5126,20250821,TOTAL,0.6718689036285603,0,8.542080906924017,0.2992242898777588
264,2000,ALABAMA,AL,WINSTON,1133.0,US PRESIDENT,AL GORE,DEMOCRAT,2692,9318,20250821,TOTAL,0.28890319811118265,0,9.139703292376742,-0.10312942928038993
268,2000,ALASKA,AK,DISTRICT 1,2001.0,US PRESIDENT,AL GORE,DEMOCRAT,1284,6656,20250821,TOTAL,0.19290865384615385,0,8.803273982501045,-0.18820956302834285
272,2000,ALASKA,AK,DISTRICT 10,2010.0,US PRESIDENT,AL GORE,DEMOCRAT,2194,8884,20250821,TOTAL,0.24696082845565062,0,9.092007185014317,-0.14352444595406563
276,2000,ALASKA,AK,DISTRICT 11,2011.0,US PRESIDENT,AL GORE,DEMOCRAT,2043,6980,20250821,TOTAL,0.2926934097421203,0,8.850804195756417,-0.08996677819198756
280,2000,ALASKA,AK,DISTRICT 12,2012.0,US PRESIDENT,AL GORE,DEMOCRAT,2051,7601,20250821,TOTAL,0.269832916721484,0,8.936035096566041,-0.11559232471084646
284,2000,ALASKA,AK,DISTRICT 13,2013.0,US PRESIDENT,AL GORE,DEMOCRAT,2661,7943,20250821,TOTAL,0.3350119602165429,0,8.980046316633132,-0.05184108940332949
288,2000,ALASKA,AK,DISTRICT 14,2014.0,US PRESIDENT,AL GORE,DEMOCRAT,1626,5868,20250821,TOTAL,0.2770961145194274,0,8.677269139262872,-0.09993426414992201
292,2000,ALASKA,AK,DISTRICT 15,2015.0,US PRESIDENT,AL GORE,DEMOCRAT,2106,5870,20250821,TOTAL,0.35877342419080066,0,8.677609912822142,-0.01826800982482818
296,2000,ALASKA,AK,DISTRICT 16,2016.0,US PRESIDENT,AL GORE,DEMOCRAT,1969,4685,20250821,TOTAL,0.42027748132337245,0,8.452121194672523,0.05055133276180662
300,2000,ALASKA,AK,DISTRICT 17,2017.0,US PRESIDENT,AL GORE,DEMOCRAT,2230,7704,20250821,TOTAL,0.28946002076843197,0,8.949494953477961,-0.09640188417544593
304,2000,ALASKA,AK,DISTRICT 18,2018.0,US PRESIDENT,AL GORE,DEMOCRAT,2739,9882,20250821,TOTAL,0.277170613236187,0,9.198470199405696,-0.11676852506066254
308,2000,ALASKA,AK,DISTRICT 19,2019.0,US PRESIDENT,AL GORE,DEMOCRAT,2350,7951,20250821,TOTAL,0.2955603068796378,0,8.981052985901483,-0.09132540101740366
312,2000,ALASKA,AK,DISTRICT 2,2002.0,US PRESIDENT,AL GORE,DEMOCRAT,2081,7388,20250821,TOTAL,0.28167298321602596,0,8.90761234131913,-0.1028301696536113
316,2000,ALASKA,AK,DISTRICT 20,2020.0,US PRESIDENT,AL GORE,DEMOCRAT,2259,6963,20250821,TOTAL,0.3244291253769927,0,8.848365694942547,-0.05815195292502445
320,2000,ALASKA,AK,DISTRICT 21,2021.0,US PRESIDENT,AL GORE,DEMOCRAT,2309,6629,20250821,TOTAL,0.3483179966812491,0,8.79920924224139,-0.03266835224198161
324,2000,ALASKA,AK,DISTRICT 22,2022.0,US PRESIDENT,AL GORE,DEMOCRAT,2656,8525,20250821,TOTAL,0.3115542521994135,0,9.050758302151717,-0.07759282952697338
328,2000,ALASKA,AK,DISTRICT 23,2023.0,US PRESIDENT,AL GORE,DEMOCRAT,1282,4630,20250821,TOTAL,0.27688984881209505,0,8.440312147080279,-0.09245319165081828
332,2000,ALASKA,AK,DISTRICT 24,2024.0,US PRESIDENT,AL GORE,DEMOCRAT,1985,7915,20250821,TOTAL,0.25078963992419456,0,8.976514972315112,-0.1359488461293279
336,2000,ALASKA,AK,DISTRICT 25,2025.0,US PRESIDENT,AL GORE,DEMOCRAT,1697,8201,20250821,TOTAL,0.20692598463602,0,9.012011377036412,-0.1809640727034635
340,2000,ALASKA,AK,DISTRICT 26,2026.0,US PRESIDENT,AL GORE,DEMOCRAT,1608,8590,20250821,TOTAL,0.18719441210710128,0,9.0583540149783,-0.20219908907658493
344,2000,ALASKA,AK,DISTRICT 27,2027.0,US PRESIDENT,AL GORE,DEMOCRAT,2199,10438,20250821,TOTAL,0.21067254263268825,0,9.25320827220336,-0.18504240347843298
348,2000,ALASKA,AK,DISTRICT 28,2028.0,US PRESIDENT,AL GORE,DEMOCRAT,2116,11040,20250821,TOTAL,0.19166666666666668,0,9.309280319831087,-0.20586736395456504
352,2000,ALASKA,AK,DISTRICT 29,2029.0,US PRESIDENT,AL GORE,DEMOCRAT,2806,8823,20250821,TOTAL,0.31803241527825005,0,9.085117227222105,-0.07222933571783341
356,2000,ALASKA,AK,DISTRICT 3,2003.0,US PRESIDENT,AL GORE,DEMOCRAT,3693,8225,20250821,TOTAL,0.4489969604863222,0,9.014933575633572,0.061012101433178256
360,2000,ALASKA,AK,DISTRICT 30,2030.0,US PRESIDENT,AL GORE,DEMOCRAT,1698,6083,20250821,TOTAL,0.2791385829360513,0,8.713253274320705,-0.09905918992457174
364,2000,ALASKA,AK,DISTRICT 31,2031.0,US PRESIDENT,AL GORE,DEMOCRAT,1831,5965,20250821,TOTAL,0.30695725062866724,0,8.693664334532016,-0.07060501954484738
368,2000,ALASKA,AK,DISTRICT 32,2032.0,US PRESIDENT,AL GORE,DEMOCRAT,1389,6033,20250821,TOTAL,0.23023371456986574,0,8.704999678440762,-0.147696295848451
372,2000,ALASKA,AK,DISTRICT 33,2033.0,US PRESIDENT,AL GORE,DEMOCRAT,1765,8712,20250821,TOTAL,0.2025941230486685,0,9.072456664612796,-0.1872568950723685
376,2000,ALASKA,AK,DISTRICT 34,2034.0,US PRESIDENT,AL GORE,DEMOCRAT,1300,7154,20250821,TOTAL,0.1817165222253285,0,8.875426919818963,-0.20174247398908826
380,2000,ALASKA,AK,DISTRICT 35,2035.0,US PRESIDENT,AL GORE,DEMOCRAT,1208,6382,20250821,TOTAL,0.1892823566280163,0,8.76123680683819,-0.19047209383643615
384,2000,ALASKA,AK,DISTRICT 36,2036.0,US PRESIDENT,AL GORE,DEMOCRAT,1945,5577,20250821,TOTAL,0.3487538102922718,0,8.626406276389554,-0.026626479787357993
388,2000,ALASKA,AK,DISTRICT 37,2037.0,US PRESIDENT,AL GORE,DEMOCRAT,1821,5028,20250821,TOTAL,0.36217183770883055,0,8.522777569710138,-0.009846538848845177
392,2000,ALASKA,AK,DISTRICT 38,2038.0,US PRESIDENT,AL GORE,DEMOCRAT,2015,4976,20250821,TOTAL,0.404943729903537,0,8.512381634419015,0.0332626173776967
396,2000,ALASKA,AK,DISTRICT 39,2039.0,US PRESIDENT,AL GORE,DEMOCRAT,2282,5188,20250821,TOTAL,0.43986121819583657,0,8.554103545436334,0.06682656704826268
400,2000,ALASKA,AK,DISTRICT 4,2004.0,US PRESIDENT,AL GORE,DEMOCRAT,2715,7823,20250821,TOTAL,0.3470535600153394,0,8.96482339168508,-0.03930562879253935
404,2000,ALASKA,AK,DISTRICT 40,2040.0,US PRESIDENT,AL GORE,DEMOCRAT,1024,3226,20250821,TOTAL,0.3174209547427154,0,8.078998258685154,-0.04020037186321451
408,2000,ALASKA,AK,DISTRICT 5,2005.0,US PRESIDENT,AL GORE,DEMOCRAT,1931,6437,20250821,TOTAL,0.299984464812801,0,8.769817872052617,-0.08004837182572966
412,2000,ALASKA,AK,DISTRICT 6,2006.0,US PRESIDENT,AL GORE,DEMOCRAT,1542,6100,20250821,TOTAL,0.25278688524590165,0,8.716044050161402,-0.1255014257227054
416,2000,ALASKA,AK,DISTRICT 7,2007.0,US PRESIDENT,AL GORE,DEMOCRAT,1893,8677,20250821,TOTAL,0.21816295954823095,0,9.06843112579349,-0.17155746239127073
420,2000,ALASKA,AK,DISTRICT 8,2008.0,US PRESIDENT,AL GORE,DEMOCRAT,1498,7978,20250821,TOTAL,0.18776635748307846,0,8.984443032465352,-0.19922933001081716
424,2000,ALASKA,AK,DISTRICT 9,2009.0,US PRESIDENT,AL GORE,DEMOCRAT,1203,6800,20250821,TOTAL,0.17691176470588235,0,8.824677891164198,-0.20490083591866856
428,2000,ALASKA,AK,DISTRICT 99,2099.0,US PRESIDENT,AL GORE,DEMOCRAT,0,0,20250821,TOTAL,,0,-inf,
432,2000,ARIZONA,AZ,APACHE,4001.0,US PRESIDENT,AL GORE,DEMOCRAT,13025,19456,20250821,TOTAL,0.6694592927631579,0,9.875910784765894,0.2535426857009345
436,2000,ARIZONA,AZ,COCHISE,4003.0,US PRESIDENT,AL GORE,DEMOCRAT,13360,33241,20250821,TOTAL,0.40191329984055835,0,10.411539332752723,-0.031380122159559376
440,2000,ARIZONA,AZ,COCONINO,4005.0,US PRESIDENT,AL GORE,DEMOCRAT,20280,40883,20250821,TOTAL,0.4960497028104591,0,10.618469607703592,0.056043066762315574
444,2000,ARIZONA,AZ,GILA,4007.0,US PRESIDENT,AL GORE,DEMOCRAT,7700,17736,20250821,TOTAL,0.4341452413170952,0,9.783351751296147,0.021231426397821163
448,2000,ARIZONA,AZ,GRAHAM,4009.0,US PRESIDENT,AL GORE,DEMOCRAT,3355,9664,20250821,TOTAL,0.34716473509933776,0,9.176162920174596,-0.04605071237777547
452,2000,ARIZONA,AZ,GREENLEE,4011.0,US PRESIDENT,AL GORE,DEMOCRAT,1216,2960,20250821,TOTAL,0.41081081081081083,0,7.992944547318106,0.05598123125190524
456,2000,ARIZONA,AZ,LA PAZ,4012.0,US PRESIDENT,AL GORE,DEMOCRAT,1769,4483,20250821,TOTAL,0.3946018291322775,0,8.40804774415544,0.026305507633119563
460,2000,ARIZONA,AZ,MARICOPA,4013.0,US PRESIDENT,AL GORE,DEMOCRAT,386683,901699,20250821,TOTAL,0.42883822650352277,0,13.71203604047108,-0.11152962367767472
464,2000,ARIZONA,AZ,MOHAVE,4015.0,US PRESIDENT,AL GORE,DEMOCRAT,17470,44141,20250821,TOTAL,0.39577716861874446,0,10.69514433474214,-0.04671694227959172
468,2000,ARIZONA,AZ,NAVAJO,4017.0,US PRESIDENT,AL GORE,DEMOCRAT,11794,25147,20250821,TOTAL,0.4690022666719688,0,10.132493884118713,0.04476161293523001
472,2000,ARIZONA,AZ,PIMA,4019.0,US PRESIDENT,AL GORE,DEMOCRAT,147688,287640,20250821,TOTAL,0.5134473647615074,0,12.56946497721643,0.010146706002783445
