,PARID,PROPERTYZIP,SALEDATE,SALEPRICE,STORIES,YEARBLT,TOTALROOMS,BEDROOMS,FULLBATHS,HALFBATHS,FINISHEDLIVINGAREA,LOGPRICE
209822,0235G00095000000,15218,1/2/91,39000.0,2.0,1977.0,6.0,3.0,1.0,0.0,1302.0,4.5910646070264995
228377,0287K00080000000,15215,11/10/75,158800.0,2.0,1975.0,11.0,5.0,3.0,2.0,4805.0,5.200850498091078
193304,0236D00014000000,15104,5/21/18,14900.0,2.0,1890.0,5.0,3.0,1.0,0.0,1332.0,4.173186268412274
287199,0972P00003000000,15239,10/31/84,58000.0,1.0,1975.0,7.0,3.0,1.0,1.0,1536.0,4.763427993562937
88664,0024B00187000000,15212,1/5/00,58000.0,2.0,1900.0,5.0,3.0,1.0,0.0,1316.0,4.763427993562937
63658,0014G00253000000,15210,12/5/05,40000.0,2.0,1910.0,12.0,6.0,2.0,0.0,2450.0,4.6020599913279625
212981,0455H00213000000,15145,6/10/02,50000.0,2.0,1950.0,5.0,2.0,1.0,0.0,1056.0,4.698970004336019
379800,0168D00048000000,15215,11/20/15,215000.0,1.0,1955.0,5.0,3.0,1.0,1.0,2176.0,5.332438459915605
407537,0078S00088000000,15212,11/24/03,80000.0,2.0,1930.0,7.0,4.0,2.0,0.0,1816.0,4.903089986991944
170410,0167F00295000000,15223,8/11/14,52000.0,2.0,1939.0,3.0,1.0,1.0,0.0,980.0,4.7160033436347994
182647,0555J00307000000,15133,4/2/15,90000.0,1.0,1950.0,6.0,4.0,1.0,0.0,1200.0,4.954242509439325
254427,0477B00125000000,15241,12/2/03,108000.0,1.0,1945.0,6.0,3.0,1.0,1.0,900.0,5.033423755486949
113390,0133J00250000000,15120,6/23/77,41250.0,2.0,1948.0,8.0,4.0,2.0,1.0,2290.0,4.615423952885944
6755,0052E00011091500,15213,6/3/10,121000.0,1.0,1957.0,5.0,1.0,2.0,0.0,1338.0,5.08278537031645
75830,0096J00216000000,15226,8/16/05,105250.0,2.0,1930.0,9.0,4.0,1.0,1.0,1784.0,5.022222104507706
149803,0066N00162000000,15106,11/14/79,12000.0,2.0,1900.0,6.0,2.0,2.0,0.0,1488.0,4.079181246047625
61844,0003N00139000000,15210,7/13/93,3500.0,2.0,1900.0,4.0,2.0,1.0,0.0,1514.0,3.5440680443502757
254017,0476N00028000000,15102,7/29/98,83000.0,1.0,1950.0,8.0,3.0,2.0,1.0,2004.0,4.919078092376074
324585,1356N00030000000,15044,6/28/79,61500.0,1.0,1975.0,7.0,3.0,2.0,0.0,1380.0,4.788875115775417
250890,0317F00015000000,15102,5/31/96,72000.0,2.0,1910.0,7.0,4.0,1.0,1.0,1846.0,4.857332496431268
148994,0322H00086000000,15017,3/30/15,110000.0,1.5,1937.0,6.0,3.0,1.0,0.0,1312.0,5.041392685158225
273072,0637F00138000000,15146,10/20/17,139900.0,1.0,1959.0,7.0,3.0,1.0,0.0,1000.0,5.145817714491828
52784,0056J00230000000,15207,8/16/06,9500.0,3.0,1897.0,7.0,3.0,1.0,0.0,2108.0,3.9777236052888476
255034,0567C00128000000,15102,2/22/96,34000.0,1.0,1929.0,5.0,2.0,1.0,0.0,884.0,4.531478917042255
179037,0101L00256000000,15106,12/2/13,115000.0,1.0,1958.0,5.0,2.0,1.0,0.0,882.0,5.060697840353612
271356,1006G00075000000,15025,10/23/15,135000.0,1.0,1958.0,6.0,3.0,1.0,1.0,1327.0,5.1303337684950066
