PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
USA,f,1941,94,0.27877,0.24467,0.5,2139,523,1878,6405,2.99
USA,f,1941,95,0.31556,0.27256,0.5,1616,440,1396,4527,2.80
USA,f,1941,96,0.33531,0.28717,0.5,1175,338,1007,3132,2.66
USA,f,1941,97,0.35565,0.30196,0.5,838,253,711,2125,2.54
USA,f,1941,98,0.37653,0.31687,0.5,585,185,492,1414,2.42
USA,f,1941,99,0.39787,0.33185,0.5,400,133,333,922,2.31
USA,f,1941,100,0.41961,0.34684,0.5,267,93,221,588,2.20
USA,f,1941,101,0.44167,0.36177,0.5,174,63,143,368,2.11
USA,f,1941,102,0.46395,0.37659,0.5,111,42,90,225,2.02
USA,f,1941,103,0.48639,0.39124,0.5,69,27,56,135,1.94
USA,f,1941,104,0.50888,0.40566,0.5,42,17,34,79,1.86
USA,f,1941,105,0.53133,0.41980,0.5,25,11,20,45,1.80
USA,f,1941,106,0.55366,0.43362,0.5,15,6,11,25,1.73
USA,f,1941,107,0.57577,0.44707,0.5,8,4,6,14,1.68
USA,f,1941,108,0.59758,0.46011,0.5,5,2,4,7,1.63
USA,f,1941,109,0.61902,0.47271,0.5,2,1,2,4,1.59
USA,f,1941,110+,0.64000,1.00000,1.56,1,1,2,2,1.56
USA,f,1942,0,0.03854,0.03733,0.16,100000,3733,96868,6736057,67.36
USA,f,1942,1,0.00416,0.00415,0.5,96267,400,96067,6639189,68.97
USA,f,1942,2,0.00216,0.00216,0.5,95867,207,95764,6543122,68.25
USA,f,1942,3,0.00166,0.00166,0.5,95660,158,95581,6447358,67.40
USA,f,1942,4,0.00128,0.00128,0.5,95502,122,95440,6351777,66.51
USA,f,1942,5,0.00103,0.00103,0.5,95379,98,95330,6256337,65.59
USA,f,1942,6,0.00087,0.00087,0.5,95281,83,95240,6161006,64.66
USA,f,1942,7,0.00074,0.00074,0.5,95198,71,95163,6065767,63.72
USA,f,1942,8,0.00066,0.00066,0.5,95127,63,95096,5970604,62.76
USA,f,1942,9,0.00061,0.00061,0.5,95064,58,95035,5875508,61.81
USA,f,1942,10,0.00058,0.00058,0.5,95006,55,94979,5780473,60.84
USA,f,1942,11,0.00059,0.00059,0.5,94951,56,94923,5685494,59.88
USA,f,1942,12,0.00065,0.00065,0.5,94895,61,94865,5590571,58.91
USA,f,1942,13,0.00074,0.00074,0.5,94834,70,94799,5495706,57.95
USA,f,1942,14,0.00085,0.00085,0.5,94764,81,94724,5400907,56.99
USA,f,1942,15,0.00100,0.00100,0.5,94683,94,94636,5306183,56.04
USA,f,1942,16,0.00115,0.00115,0.5,94589,109,94534,5211547,55.10
USA,f,1942,17,0.00128,0.00128,0.5,94480,121,94419,5117013,54.16
USA,f,1942,18,0.00140,0.00140,0.5,94359,132,94293,5022594,53.23
USA,f,1942,19,0.00154,0.00154,0.5,94226,145,94154,4928301,52.30
USA,f,1942,20,0.00162,0.00162,0.5,94082,152,94006,4834147,51.38
USA,f,1942,21,0.00172,0.00172,0.5,93929,161,93849,4740141,50.46
USA,f,1942,22,0.00184,0.00184,0.5,93768,172,93682,4646293,49.55
USA,f,1942,23,0.00193,0.00193,0.5,93596,180,93506,4552611,48.64
USA,f,1942,24,0.00201,0.00201,0.5,93416,187,93322,4459105,47.73
USA,f,1942,25,0.00204,0.00204,0.5,93228,190,93133,4365783,46.83
USA,f,1942,26,0.00207,0.00207,0.5,93039,193,92942,4272649,45.92
USA,f,1942,27,0.00208,0.00208,0.5,92846,193,92749,4179707,45.02
