,date,current_price,month,year,previous_price
160,1986-12,1.403452380952381,December,1986,1.6089055555555556
161,1987-01,1.271,January,1987,1.403452380952381
162,1987-02,1.2338631578947368,February,1987,1.271
163,1987-03,1.061,March,1987,1.2338631578947368
164,1987-04,1.1078476190476192,April,1987,1.061
165,1987-05,1.21455,May,1987,1.1078476190476192
166,1987-06,1.0836045454545455,June,1987,1.21455
167,1987-07,1.0364545454545455,July,1987,1.0836045454545455
168,1987-08,1.0624809523809524,August,1987,1.0364545454545455
169,1987-09,1.1548571428571428,September,1987,1.0624809523809524
170,1987-10,1.2282727272727274,October,1987,1.1548571428571428
171,1987-11,1.268184210526316,November,1987,1.2282727272727274
172,1987-12,1.2838181818181815,December,1987,1.268184210526316
173,1988-01,1.287825,January,1988,1.2838181818181815
174,1988-02,1.37318,February,1988,1.287825
175,1988-03,1.348108695652174,March,1988,1.37318
176,1988-04,1.34112,April,1988,1.348108695652174
177,1988-05,1.3360238095238095,May,1988,1.34112
178,1988-06,1.355318181818182,June,1988,1.3360238095238095
179,1988-07,1.339675,July,1988,1.355318181818182
180,1988-08,1.1976652173913045,August,1988,1.339675
181,1988-09,1.274190476190476,September,1988,1.1976652173913045
182,1988-10,1.2459761904761906,October,1988,1.274190476190476
183,1988-11,1.259065,November,1988,1.2459761904761906
184,1988-12,1.3859285714285714,December,1988,1.259065
185,1989-01,1.4417142857142855,January,1989,1.3859285714285714
186,1989-02,1.3188315789473684,February,1989,1.4417142857142855
187,1989-03,1.3020227272727274,March,1989,1.3188315789473684
188,1989-04,1.355115,April,1989,1.3020227272727274
189,1989-05,1.3077045454545455,May,1989,1.355115
190,1989-06,1.196490909090909,June,1989,1.3077045454545455
191,1989-07,0.8776249999999999,July,1989,1.196490909090909
192,1989-08,0.8073913043478261,August,1989,0.8776249999999999
193,1989-09,0.8256249999999999,September,1989,0.8073913043478261
194,1989-10,0.7255909090909091,October,1989,0.8256249999999999
195,1989-11,0.750075,November,1989,0.7255909090909091
196,1989-12,0.78145,December,1989,0.750075
197,1990-01,0.8065227272727273,January,1990,0.78145
198,1990-02,0.8605315789473685,February,1990,0.8065227272727273
199,1990-03,0.946409090909091,March,1990,0.8605315789473685
200,1990-04,0.94817,April,1990,0.946409090909091
201,1990-05,0.9432272727272728,May,1990,0.94817
202,1990-06,0.8941904761904761,June,1990,0.9432272727272728
203,1990-07,0.8823095238095239,July,1990,0.8941904761904761
204,1990-08,0.9543565217391304,August,1990,0.8823095238095239
205,1990-09,0.9705,September,1990,0.9543565217391304
206,1990-10,0.9240652173913044,October,1990,0.9705
207,1990-11,0.8509249999999999,November,1990,0.9240652173913044
208,1990-12,0.914,December,1990,0.8509249999999999
209,1991-01,0.8705454545454546,January,1991,0.914
210,1991-02,0.8852210526315789,February,1991,0.8705454545454546
211,1991-03,0.936025,March,1991,0.8852210526315789
212,1991-04,0.9110545454545456,April,1991,0.936025
213,1991-05,0.8817954545454545,May,1991,0.9110545454545456
214,1991-06,0.8550449999999999,June,1991,0.8817954545454545
215,1991-07,0.8368095238095238,July,1991,0.8550449999999999
216,1991-08,0.8181090909090909,August,1991,0.8368095238095238
217,1991-09,0.8988250000000001,September,1991,0.8181090909090909
218,1991-10,0.8155652173913043,October,1991,0.8988250000000001
219,1991-11,0.7910736842105264,November,1991,0.8155652173913043
220,1991-12,0.796,December,1991,0.7910736842105264
221,1992-01,0.7737727272727273,January,1992,0.796
222,1992-02,0.6880052631578947,February,1992,0.7737727272727273
223,1992-03,0.7180909090909091,March,1992,0.6880052631578947
224,1992-04,0.6654571428571427,April,1992,0.7180909090909091
225,1992-05,0.6285999999999999,May,1992,0.6654571428571427
226,1992-06,0.5984681818181818,June,1992,0.6285999999999999
227,1992-07,0.5998181818181818,July,1992,0.5984681818181818
228,1992-08,0.5271523809523809,August,1992,0.5998181818181818
229,1992-09,0.5427857142857143,September,1992,0.5271523809523809
230,1992-10,0.6297272727272727,October,1992,0.5427857142857143
231,1992-11,0.6796947368421052,November,1992,0.6297272727272727
232,1992-12,0.7820227272727273,December,1992,0.6796947368421052
233,1993-01,0.6654,January,1993,0.7820227272727273
234,1993-02,0.6327421052631579,February,1993,0.6654
235,1993-03,0.6171304347826087,March,1993,0.6327421052631579
236,1993-04,0.5595761904761904,April,1993,0.6171304347826087
237,1993-05,0.6142749999999999,May,1993,0.5595761904761904
238,1993-06,0.60245,June,1993,0.6142749999999999
239,1993-07,0.7130238095238095,July,1993,0.60245
240,1993-08,0.7482590909090909,August,1993,0.7130238095238095
241,1993-09,0.7957857142857143,September,1993,0.7482590909090909
242,1993-10,0.7498095238095238,October,1993,0.7957857142857143
243,1993-11,0.7615000000000001,November,1993,0.7498095238095238
244,1993-12,0.7719523809523808,December,1993,0.7615000000000001
245,1994-01,0.7336428571428572,January,1994,0.7719523809523808
246,1994-02,0.7588684210526315,February,1994,0.7336428571428572
247,1994-03,0.8059782608695653,March,1994,0.7588684210526315
248,1994-04,0.8341421052631579,April,1994,0.8059782608695653
249,1994-05,1.1599761904761905,May,1994,0.8341421052631579
250,1994-06,1.3771681818181818,June,1994,1.1599761904761905
251,1994-07,2.168125,July,1994,1.3771681818181818
252,1994-08,1.943791304347826,August,1994,2.168125
