,date,current_price,previous_price
122,1983-10,1.4214285714285717,1.3214761904761905
123,1983-11,1.4700904761904765,1.4214285714285717
124,1983-12,1.4525,1.4700904761904765
125,1984-01,1.42,1.4525
126,1984-02,1.443905,1.42
127,1984-03,1.4627272727272729,1.443905
128,1984-04,1.503935,1.4627272727272729
129,1984-05,1.4932045454545453,1.503935
130,1984-06,1.4635952380952382,1.4932045454545453
131,1984-07,1.4141190476190475,1.4635952380952382
132,1984-08,1.458347826086957,1.4141190476190475
133,1984-09,1.397657894736842,1.458347826086957
134,1984-10,1.3559782608695652,1.397657894736842
135,1984-11,1.4049333333333334,1.3559782608695652
136,1984-12,1.3983157894736842,1.4049333333333334
137,1985-01,1.4611363636363637,1.3983157894736842
138,1985-02,1.452321052631579,1.4611363636363637
139,1985-03,1.4358571428571427,1.452321052631579
